Word,Definition,Examples
半拉,half,"[{""sentence"": ""['他把那半拉纸扔了.', '那儿还剩下了半拉西瓜.']"", ""translation"": ""['He threw the other half of the paper away.', 'There is half of a watermelon left there.']""}]"
半晌,half a day/ A metaphor for quite a long time.,"[{""sentence"": ""['他半晌没说一句话。', '前半晌', '后半晌', '晚半晌']"", ""translation"": ""['He couldn’t say a word for ages.', 'morning', 'afternoon', 'evening']""}]"
棒,strong; excellent; great,"[{""sentence"": ""['他身体真棒.', '这鞋真棒.', '这场演出棒极了.']"", ""translation"": ""['He is very strong.', 'The shoes are excellent.', 'The show is great.']""}]"
傍大款,(for a  woman) to accompany a rich man; have an intimate relationship with a rich man.,"[{""sentence"": ""['有些女孩发现傍大款是一个致富的捷径.', '她无职业, 只不过是以傍大款为生.']"", ""translation"": ""['Some girls think they can have a better life by accompanying rich men.', 'She has no job, but she’s supported by a rich man.']""}]"
煲电话粥,boil(cook) porridge of telephone/ A metaphor for talking on the phone for a long time.,"[{""sentence"": ""['她总爱煲电话粥, 所以每月的电话费都很多.']"", ""translation"": ""['She likes to chat too long on the phone so she spends much money paying her telephone bill.']""}]"
爆炒,quick-fry/A metaphor for launching a whirlwind mass media advertising campaign for quick and optimum commercial impact n a short period.,"[{""sentence"": ""['电影还未上映, '电影公司对此片的爆炒就已经开始', 以吸引大众媒体的注意.']"", ""translation"": ""['Before the film hit the theaters, the film company had already started to quick-fry it in order to arouse more media attention.']""}]"
暴打,beat sb. Severely; give a good thrashing,"[{""sentence"": ""['他因为偷东西而被人暴打了一顿.']"", ""translation"": ""['He was beaten severely for stealing things.']""}]"
暴侃,talk big; boast; shoot the bull,"[{""sentence"": ""['他善暴侃.只要他一来, 我们就坐着听他神聊一通.']"", ""translation"": ""['He likes to shoot the bull. Whenever he comes, we sit around and listen to him talk.']""}]"
报冷门,produce unexpected results,"[{""sentence"": ""['这次比赛大报冷门, 杀出一批更年轻的选手.']"", ""translation"": ""['This competition produced many unexpected results and created a group of young winners.']""}]"
报料,to provide news clues or information to journalists,"[{""sentence"": ""['游乐园出了事故, 一位游客立刻给当地的晚报热线报料.']"", ""translation"": ""['When an accident took place in an amusement park, a tourist immediately called a local evening paper’s hotline and provided them with the news.']""}]"
爆棚,"Literally it means a tent is too crowded with people and may explode. A metaphor for something that is very popular and loved by people so that too many wish to join it, participate or go for it.","[{""sentence"": ""['乐意剧《美女与野兽》去年年底在京城上演三天，场场爆棚，不是不又加演两场.']"", ""translation"": ""['The musical play“The Beauty and the Beast” had three shows in Beijing at the end of last year. It was full every time so that they had to put on two extra performances.']""}]"
暴笑,laugh,"[{""sentence"": ""['谁也没有想到, 平日少言寡语的他说出一句话竟然能引起大伙暴笑了好一阵.']"", ""translation"": ""['He hardly ever speaks in public, and it took everyone by surprise when what he said made everyone laugh for quite a while.']""}]"
备不住,perhaps; maybe,"[{""sentence"": ""['她备不住已经去上海了.']"", ""translation"": ""['Maybe she has already left for Shanghai.']""}]"
背过气,stop breathing; be out of breath; gasp for breath,"[{""sentence"": ""['这个不幸的消息差点儿让她背过气去.']"", ""translation"": ""['The bad news almost took her breath away.']""}]"
奔命,drive(push) oneself hard to hurry on with one’s journey or work,"[{""sentence"": ""['他每天都在奔命, 为的是多挣一点儿钱.']"", ""translation"": ""['He drives himself hard to rush his work in order to make more money every day.']""}]"
崩,shoot to death; execute by shooting,"[{""sentence"": ""['那小子昨天让人给崩了.']"", ""translation"": ""['That fellow was shot to death yesterday.']""}]"
蹦迪,disco dance,"[{""sentence"": ""['最近他很忙, 没有时间去蹦迪了.']"", ""translation"": ""['He has been so busy recently that he had no time to go to the disco.']""}]"
绷儿,very; so; extremely,"[{""sentence"": ""['这木头绷儿硬.', '这汤绷儿好喝.', '这灯绷儿亮.']"", ""translation"": ""['The wood is very hard.', 'The soup is so delicious.', 'The light is extremely bright.']""}]"
毙,shoot to death; execute by shooting,"[{""sentence"": ""['杀人犯被枪毙了.']"", ""translation"": ""['The murder was shot to death.']""}]"
飙车,drive violently(madly),"[{""sentence"": ""['我儿子就喜欢飙车, 谁劝他也不听.我真担心有一天他会出事.']"", ""translation"": ""['My son is fond of driving violently and listens to nobody’s warnings. I’m so worried that he will have an accident one day.']""}]"
憋镜头,bad camera shot; a shot gone wrong,"[{""sentence"": ""['小心点儿, 别憋了镜头.']"", ""translation"": ""['Be careful, don’t make the shot go wrong.']""}]"
蹩脚,inferior; poor; unskilled,"[{""sentence"": ""['这是一篇蹩脚的文章.']"", ""translation"": ""['This is a bad article.']""}]"
病秧子,sick vine; person in poor health; someone vulnerable to illness,"[{""sentence"": ""['她看起来挺结实, 实际上却是个病秧子.']"", ""translation"": ""['She looks very healthy. But actually she is often laid low by illness.']""}]"
泊车,parking,"[{""sentence"": ""['为了解决泊车难的总是街道两旁都新设置了停车线.']"", ""translation"": ""['New parking lines were drawn on both sides of the street to solve the parking problem.']""}]"
不颤,to not be afraid; to not be scared,"[{""sentence"": ""['他谁也不颤, 包括他的老板.']"", ""translation"": ""['He is not afraid of anyone, even his boss.']""}]"
不搭脉,"two things entirely different, like chalk and cheese","[{""sentence"": ""['你们俩别争了.一个是名牌, '一个是杂牌', 根本不搭脉.争也白争.']"", ""translation"": ""['Stop arguing you two. One is a famous brand, another is an inferior brand. They can’t be mentioned in the same breath. It is useless to argue any more.']""}]"
不忿儿,refuse to obey; to not give in to,"[{""sentence"": ""['他就不忿儿他的班长.']"", ""translation"": ""['He refuses to obey the class monitor.']""}]"
不感冒,have no interest; to not be interested in sth; pay little attention to,"[{""sentence"": ""['对这种鸡毛蒜皮的事从不感冒.']"", ""translation"": ""['He’s not interested in these kinds of petty matters.']""}]"
不吝,not care; not mind,"[{""sentence"": ""['她从不吝别人对她是怎么想的.']"", ""translation"": ""['She doesn’t care what other people think about her.']""}]"
不起眼儿,not eye-catching; trivial; unremarkable,"[{""sentence"": ""['虽然影片中描写的都是不起眼儿的事情, 但它还是一部十分感人和有教育意义的电影.']"", ""translation"": ""['The film is very moving and instructive although what it depicts is trivial.']""}]"
不是玩儿,be no joke; be serious; no kidding; not a trifling matter,"[{""sentence"": ""['别坐在窗台上, 这不是玩儿的.', '告诉你不要碰插座, 这不是玩儿的.']"", ""translation"": ""['Don’t sit on the windows. This is no trifling matter.', 'I’m serious in telling you not to touch the socket.']""}]"
踩,slander; calumniate; libel; insult,"[{""sentence"": ""['他这种小人只会靠踩别人或拍马屁来向上爬，自己一点儿真才实学也没有.']"", ""translation"": ""['He is a villain who depends on slandering others and licking boots to get himself promoted. Actually he has no real ability or knowledge at all.']""}]"
踩点儿,step on the spot; make a thorough and careful investigation of a place a person intends to go to,"[{""sentence"": ""['明天我们去承德春游.老王昨天就踩点儿去了.']"", ""translation"": ""['Tomorrow we will have a spring outing to Chengde. Lao Wang went to step on the spot yesterday.']""}]"
踩乎,"bully; oppress; depreciate, tread upon; disparage","[{""sentence"": ""['我可不是那么容易被人踩乎的人.', '她想踩乎别人来抬高自己.']"", ""translation"": ""['I’m one who is not easily trodden upon by anyone.', 'She wants to put down others so as to build up herself.']""}]"
菜,sb. Or sth. That is good for nothing; hopelessly stupid; humiliating; rustic; countrified; ignorant,"[{""sentence"": ""['你也真够菜的。这么简单的事情也做不好，还能做些什么。', '你整个一个菜，连手机都没见过。']"", ""translation"": ""['You are so stupid. You can’t do such an easy thing. What else can you do?', 'You are a complete ignoramus. You haven’t ever seen a mobile phone before.']""}]"
菜了,fail; be unsuccessful; fall through,"[{""sentence"": ""['这次我算是彻底菜了。']"", ""translation"": ""['I totally failed this time.']""}]"
菜色,dark green or sallow yellow/ A term to indicate someone who has a colorless complexion or looks famished.,"[{""sentence"": ""['她面带菜色。']"", ""translation"": ""['She looks famished.']""}]"
残废,crippled man/ A metaphor for men shorter than 160 cm.,"[{""sentence"": ""['她逗她丈夫说他是个残废。']"", ""translation"": ""['She teases her husband by calling him a“cripple” .']""}]"
糙,rude; rough; boorish; uncouth; impolite,"[{""sentence"": ""['别跟他制气。他是个糙人。']"", ""translation"": ""['Don’t be angry with him. He is a rough fellow.']""}]"
操蛋,(swearword) damn; bad; no good; disappointing,"[{""sentence"": ""['你真操蛋。我等了你一个小时，可你根本就没有露面。']"", ""translation"": ""['Damn you. I waited for you an hour, but you didn’t show up.']""}]"
蹭车,get a lift; take a bus or train without pay,"[{""sentence"": ""['她训斥儿子不该蹭车。']"", ""translation"": ""['She scolded her son for not paying the bus fare.']""}]"
碴,fight; come to blows; scuffle(with),"[{""sentence"": ""['楼前两个人碴起来了。']"", ""translation"": ""['Two men are fighting in front of the building.']""}]"
茶钱,tip,"[{""sentence"": ""['她几年前离开出版社干起了导游。这几天可发了，光茶钱就挣了不少。']"", ""translation"": ""['She left the publishing house and worked as a tourist guide several years ago. She has made a fortune in recent years and earned a lot only from tips.']""}]"
缠,deal with; cope with; handle,"[{""sentence"": ""['我讨厌，见他。这人太难缠。']"", ""translation"": ""['I dislike to see him. He is too much of a handful.']""}]"
猖,savage; furious; unbridled,"[{""sentence"": ""['走私犯够猖的，敢和警察交手。']"", ""translation"": ""['The smugglers were so unbridled that they fought furiously with the police.']""}]"
长舌妇,gossip monger; garrulous woman,"[{""sentence"": ""['一件不起眼的事能让长舌妇说破了天。']"", ""translation"": ""['A gossip monger can make a small thing into a big event.']""}]"
抄肥,realp profit in business; block goods and take them away; waylay; profit reaping,"[{""sentence"": ""['他真倒霉。今天碰上一个抄肥的家伙截走了他一池溏的鱼。']"", ""translation"": ""['He was unlucky to day. He met some profit reaping guys, who took away all his fish from the pond.']""}]"
潮,fashion; fashionable,"[{""sentence"": ""['今年真皮茄克特潮。']"", ""translation"": ""['leather jackets are fashionable this year.']""}]"
炒汇,arbitrage; buy and resell foreign currency at a profit,"[{""sentence"": ""['他整日忙着炒汇。']"", ""translation"": ""['He is busy all day buying and reselling foreign currency.']""}]"
炒买妙卖,"to speculate; resell at a profit (used mostly for stocks, foreign currency, real estate or other goods in exceeding supply demand)","[{""sentence"": ""['他最早靠炒买炒卖股票发家的。']"", ""translation"": ""['At the very beginning the built up his family fortune by reselling stocks.']""}]"
炒鱿鱼,sack; dismiss ; fire,"[{""sentence"": ""['如果再迟到，你就要被炒鱿鱼了。']"", ""translation"": ""['You’ll be fired if you come to work late again next time.']""}]"
车本,driver’s license,"[{""sentence"": ""['张小姐上午刚拿到车本，下午就直奔车行去买车。']"", ""translation"": ""['Ms. Zhang got her driver’s license in the morning, and went directly to the car lot to buy a car in the afternoon.']""}]"
车倒儿,a person who resells vehicles; second-hand dealer,"[{""sentence"": ""['如果你愿意我能通过一个车倒儿帮你弄辆德国车。']"", ""translation"": ""['I can help you buy a German car through a second-hand dealer if you want.']""}]"
扯淡,(swearword) talk nonsense; bullshit,"[{""sentence"": ""['我认为他在扯淡。实际上他比任何人都清楚事实的真相。']"", ""translation"": ""['I think he’s talking nonsense. Actually he is aware of the facts better than anyone else.']""}]"
扯平,be(get) even with sb. ; make even,"[{""sentence"": ""['这样就扯平了。']"", ""translation"": ""['This will make it even.']""}]"
撑,prop up; maintain; hold out; support,"[{""sentence"": ""['这个家全靠我父亲撑着。']"", ""translation"": ""['The family is supported by only my father.']""}]"
秤砣,the sliding weight of a steelyard,"[{""sentence"": ""['你这个秤砣有多重？']"", ""translation"": ""['How heavy is the sliding weight in the steelyard?']""}]"
痴,foolish; stupid; idiotic,"[{""sentence"": ""['一副痴相。']"", ""translation"": ""['a stupid look']""}]"
吃不了兜着走,get more than one bargained for; land oneself in serious trouble,"[{""sentence"": ""['仓库重地必须要小心，否则失了火你可是要吃不了兜着走。']"", ""translation"": ""['You should be very careful in the warehouse. If a fire starts, you will be in serious trouble.']""}]"
吃错药了,take the wrong medicine/ A term that infers a person’s behavior is a bit strange or rude and impolite.,"[{""sentence"": ""['他不是吃错了吧？我从未见他对我这么凶过。']"", ""translation"": ""['I haven’t seen him so rude to me. Has he taken the wrong medicine today?']""}]"
吃刀,suffer losses; get the worst of it; be cheated or fooled,"[{""sentence"": ""['她就是因为太软脸皮薄，所以上街买东西没少吃刀。']"", ""translation"": ""['She is often cheated when she buys things in the street because she is too faint-hearted and feels ashamed of bargaining.']""}]"
吃偏饭,have particular meal for someone or receive(give sb.)a particular treatment or help,"[{""sentence"": ""['我们在这儿人人平等，谁也不能吃偏饭。']"", ""translation"": ""['We are equal here. No one will receive a particular treatment.']""}]"
吃请,to be invited to a dinner,"[{""sentence"": ""['你自己吃吧，我今晚去吃请。']"", ""translation"": ""['Go ahead and have supper yourself. I’ve been invited to a dinner tonight.']""}]"
吃软饭,(of men)live off women rather than working for a living;(of men) be supported by women,"[{""sentence"": ""['如今有些漂亮的小伙子专门喜欢吃软饭。']"", ""translation"": ""['Some good looking guys prefer to live off women these days.']""}]"
吃香,be very popular; find favor with sb; be well-liked,"[{""sentence"": ""['现在电脑吃香', '国内懂英语的人到哪儿都吃香。']"", ""translation"": ""['Now computers find favor with customers.', 'People who speak English are well-liked everywhere in China.']""}]"
吃小灶,have a special meal for sb. Or receive (give sb.) a special treatment or service/ Often it refers to giving someone individual tuition or training.,"[{""sentence"": ""['她父亲是老师，所以常给她吃小灶，还让她做大量的习题。', '他不喜欢上大课，就喜欢吃小灶。']"", ""translation"": ""['Her father is a teacher, 'so he often teachers her alone', making her do many exercises.', 'He prefers to be taught alone than to go to a lecture.']""}]"
充大个儿,show off; be foolhardy; to force oneself to do; be braggart/ A term refers to one who insists on doing sth. Which is beyond his ability or one who tries to impress others.,"[{""sentence"": ""['既然你不行，你就不该充大个儿。']"", ""translation"": ""['You shouldn’t show off about something you can’t do.']""}]"
冲洋画片,pull the card out of an automatic selling machine,"[{""sentence"": ""['我三岁的女儿坚持要自己冲洋画片。']"", ""translation"": ""['My three-year-old daughter insisted on pulling out the card herself.']""}]"
抽立,lose money(in gambling); be beaten; be defeated,"[{""sentence"": ""['在牌桌上他第一个被抽立了。']"", ""translation"": ""['He lost all his money at the card table.']""}]"
臭,stupid; bad; disappointing; inferior,"[{""sentence"": ""['这是谁写的字？真够臭的。']"", ""translation"": ""['Whose handwriting is this? It’s really bad.']""}]"
臭大粪,low-grade; no good; stupid,"[{""sentence"": ""['“臭大粪”，你连这么简单的棋都下不好。']"", ""translation"": ""['How stupid! You can’t even play the simplest game.']""}]"
臭美,make up; dress up; beautify,"[{""sentence"": ""['她喜欢照着镜子臭美。']"", ""translation"": ""['She likes to make herself up in front of the mirror.']""}]"
臭美妞,a girl who is fussy about her appearance,"[{""sentence"": ""['她是我们班有名的臭美妞。']"", ""translation"": ""['She is well know in our class for being the fussiest about her appearance.']""}]"
臭子儿,dumb fire; faulty cartridge;(of bullet)lose efficacy,"[{""sentence"": ""['在起跑线上，他放了三枪，可全是臭子儿。']"", ""translation"": ""['At the start of the race, 'he shot the gun three times', but it wouldn’t go off because of the dumb fire.']""}]"
出菜,produce a product; make sth.; achieve sth.,"[{""sentence"": ""['多数人都想在中年时出菜。']"", ""translation"": ""['Most people hope to have achieved something by the time they reach forty.']""}]"
出格,(speech and action) be out of the ordinary; differ form others,"[{""sentence"": ""['他这人很奇怪，办什么事都出格。']"", ""translation"": ""['He is quite odd. He often does things out of the ordinary.']""}]"
出更,(policeman) go on a tour of inspection; patrol; make one’s rounds,"[{""sentence"": ""['小李刚刚从警校毕业。这是他当干警后的第一次出更。']"", ""translation"": ""['Xiao Li has just graduated from a police school. This is his first time he has made his rounds after becoming a policeman.']""}]"
出局,be knocked out or eliminated in a competition,"[{""sentence"": ""['今天下午进行的初赛中红队有两名选手出局，有三名选手进入复赛。']"", ""translation"": ""['Two players from the Red Team were eliminated in the preliminary contest this afternoon. The other three have entered the semi-finals.']""}]"
出摊儿,(of vendors)do business; open for business,"[{""sentence"": ""['昨天下大雨，所以他没有出摊儿。']"", ""translation"": ""['He didn’t open his stand yesterday because of the heavy rain.']""}]"
雏（儿）,greenhorn; tyro; new hand; raw recruit,"[{""sentence"": ""['他是个雏。他不知如何应付这种局面。']"", ""translation"": ""['He’s a new hand at this. He doesn’t know how to handle the situation.']""}]"
触电,"to have one’s first experience on TV or in a movie; to play a role in a TV drama or a film, or to be a host/hostess on TV","[{""sentence"": ""['歌星谈判他第一次触电经历时，感受颇多。']"", ""translation"": ""['The pop star was very moved when he recalled his first experience playing a role in a TV series.']""}]"
穿帮,to let the cat out of the bag; to give oneself away; to let the whole world know,"[{""sentence"": ""['这事差点让我给穿帮了。我不知道他没把丢自行车的事告诉他爱人。']"", ""translation"": ""['I very nearly let the cat out of the bad. I didn’t know he hadn’t told his wife about his bicycle being lost.']""}]"
穿水晶鞋,"make sb. Wear crystal(or small) shoes/A metaphor for one who makes things difficult for others, or stops others from doing things(generally used to refer to working relationship specially boss and subordinate).","[{""sentence"": ""['我不怕她给我穿水晶鞋。']"", ""translation"": ""['I’m not afraid of her making my life difficult.']""}]"
窗户纸,"thin paper used on windows/A metaphor for screen, cover-up or camouflage.","[{""sentence"": ""['他试图以谎言来掩盖事实，但他那层窗户纸最终还是被人捅破了。']"", ""translation"": ""['He tried to cover up the facts by telling lies. But his screen was torn off at last.']""}]"
吹灯拔蜡,(literally) blow out the candle and remove it;(figuratively)go fail; fall through,"[{""sentence"": ""['我想如果他们不肯忙，这件事迟早得吹灯拔蜡。']"", ""translation"": ""['I think this matter will fall through sooner or later if they don’t give us a hand.']""}]"
戳,erect;stand sth. on end,"[{""sentence"": ""['你能帮我把竹竿戳起来吗？']"", ""translation"": ""['Would you please help me erect the bamboo pole?']""}]"
呲儿,scold; give a tongue-lashing,"[{""sentence"": ""['昨天老板把我呲儿了一顿，说我不该擅自降价处理这批货物。']"", ""translation"": ""['Yesterday my boss gave me a good talking-to. He said that I shouldn’t have sold these goods at a cheaper price without authorization.']""}]"
次毛,(of product)poor in quality; inferior; bad,"[{""sentence"": ""['这台机器太次毛，那么；容易坏。']"", ""translation"": ""['The machine is really pool. It breaks down easily.']""}]"
醋坛子,vinegar jar/A metaphor for a jealous person.,"[{""sentence"": ""['我老婆是个醋坛子，她总是盯着我。']"", ""translation"": ""['My wife is a jealous woman. She always keeps a close eye on me.']""}]"
蹿,(of price)rise quickly; hike up; go up suddenly,"[{""sentence"": ""['一个阑尾手术两年前花一千元，可今年年初一下蹿到五千元。']"", ""translation"": ""['An appendectomy costed1, '000yuan two years ago', 'but the price was hiked up to 5', 000yuan early this year.']""}]"
村姑,a country girl form the country,"[{""sentence"": ""['这是她头一回在影片中扮演村姑。']"", ""translation"": ""['This is the first time for her to play the role of a girl from the country in a film.']""}]"
撮,eat; have a meal,"[{""sentence"": ""['咱们找个地方撮一顿。']"", ""translation"": ""['Let’s eat out somewhere.']""}]"
撮堆儿,goods of lower quality; left over/A metaphor for people or things not chosen in the first lot.,"[{""sentence"": ""['她爱上街买撮堆儿的菜。']"", ""translation"": ""['She likes to buy second quality vegetables in the market to save money.']""}]"
搓麻,play mahjong,"[{""sentence"": ""['他正在家里搓麻。']"", ""translation"": ""['He’s playing mahjong at home.']""}]"
矬子,a short person,"[{""sentence"": ""['那个矬子是他的父亲。']"", ""translation"": ""['That short man is his father.']""}]"
搭档,cooperate; collaborate,"[{""sentence"": ""['我将与他搭档创作一本小说。']"", ""translation"": ""['I’ll collaborate with him to write a novel.']""}]"
打八刀,divorce,"[{""sentence"": ""['老王上个月刚与老婆打八刀, 这个月就要和他的新女友结婚了。']"", ""translation"": ""['Lao Wang divorced his wife just last month. But this month he will marry his new girlfriend.']""}]"
打车,hail cab; take a taxi; by taxi,"[{""sentence"": ""['由于下雨我就打车过来了。']"", ""translation"": ""['I came here by taxi because of the rain.']""}]"
打工妹,female employee; female worker,"[{""sentence"": ""['这里有不少外地来的打工妹。']"", ""translation"": ""['There are lots of female workers from other parts of the country here.']""}]"
打哈哈,poke fun at; joke about,"[{""sentence"": ""['我可没打哈哈, 我是认真的。']"", ""translation"": ""['I am not joking . I’m serious.']""}]"
打水漂儿,"play(make)ducks and drakes (with sth.); spend in vain; with no result; pay out, but get nothing in return","[{""sentence"": ""['他的全部资金都打水漂儿了。']"", ""translation"": ""['He played ducks and drakes with all his money on that business deal.']""}]"
打一枪换一个地方,"go job-hopping; move regularly(from one place to another); change frequently(job, things)","[{""sentence"": ""['年轻人总喜欢打一枪换一个地方, 寻找更好的工作。']"", ""translation"": ""['Young people are always moving around looking for a better job.']""}]"
打住,stop; hold on; bring to a halt,"[{""sentence"": ""['到此打住!我们不要再讨论下去了。']"", ""translation"": ""['Hold on! We can’t discuss this any longer.']""}]"
大瓣儿蒜,big clove of garlic/ A metaphor for someone who behaves in an affected way or puts on an act.,"[{""sentence"": ""['你不了解他, '他就是一个大瓣儿蒜', 总爱用领导的口气跟人说话。']"", ""translation"": ""['You don’t know him. He is really big clove of garlic, and always likes to talk in the tones of a boss.']""}]"
大比拼,dual meet; a meeting between two competing teams or two competitors,"[{""sentence"": ""['比赛马现场院热闹非凡, '场内运动员激烈竞争', '而场院外各路记者也在进行大比拼', 纷纷抢发赛事消息。']"", ""translation"": ""['The scene of contest was extremely hot. The athletes competed fiercely. There was also a competition between journalists, trying to be the first to send the latest news of the results of the competition.']""}]"
大出血,sell goods at a very low price; have a grand sale,"[{""sentence"": ""['她在那家商店年底大出血时买了一件在衣.']"", ""translation"": ""['She bought an overcoat from that shop when it had its grand sale at the end of the year.']""}]"
大吊车,big crane/A metaphor for a single man of around thirty; unmarried man; bachelor.,"[{""sentence"": ""['你都三十好几的人了, '怎么还不急哪', 真想当大吊车呀。']"", ""translation"": ""['You’re over thirty. How come you don’t worry? Do you really want to be a big crane?']""}]"
大发,excessive; over the top/Refers to one who overdoes sth. or exceeds a limit.,"[{""sentence"": ""['我今天亏大发了。']"", ""translation"": ""['I suffered a great loss today.']""}]"
大哥大,Cellular phone,"[{""sentence"": ""['他随身带着大哥大以便随时与头儿联系。']"", ""translation"": ""['D1:He takes cellular  phone around with him so he can get in touch with his boss at any time.']""}]"
大红大紫,(of a person)very famous; well-known; celebrated,"[{""sentence"": ""['她已是国内大红大紫的歌星了。']"", ""translation"": ""['She has become one of the most famous singers in the country.']""}]"
大件,"expensive consumer goods (television, refrigerator, washing machine, tape recorder)in the 80s of the 20 th century.","[{""sentence"": ""['除非他置齐那四大件——电视、冰箱、洗衣机、收录机, 否则他的女友就不跟他结婚。']"", ""translation"": ""['His girlfriend won’t marry him until he’s bought the four items.']""}]"
大块头,a hefty person; a tall person; a tall and strong person,"[{""sentence"": ""['他的对手是个大块头.']"", ""translation"": ""['His opponent is tall and hefty.']""}]"
大礼拜,"“big weekend”(Saturday and Sunday) In 1994, the Chinese government passed the official 44-hour work week. This means that Chinese who work in companies that follow this guideline have alternating weekend-“big”and “small” weekends. “Big weekend”means people get Saturday and Sunday off. “Small weekend” means they must work on Saturday (a full day).","[{""sentence"": ""['这个星期是大礼拜, '所以星期六很多人会去香山.我不想去', 人一定很多。']"", ""translation"": ""['This week is the“big weekend”, so a lot of people will go to the Fragrant Hills on Saturday. I don’t want to go because there will be too many people.']""}]"
大路货,goods at ordinary or low price; cheap goods,"[{""sentence"": ""['街角那个商店主要经销大路货.']"", ""translation"": ""['The store at the corner of the street mainly sells cheap goods.']""}]"
大面儿,outlook; appearance; surface,"[{""sentence"": ""['这所学校大面儿还可以.']"", ""translation"": ""['The outlook of the school is agreeable.']""}]"
