sentence_s,sentence_t
"He is very strong.', 'The shoes are excellent.', 'The show is great.","Here are the translations for the provided sentences:

1. 他很强壮。
2. 这些鞋子很好。
3. 这个表演很棒。"
"Some girls think they can have a better life by accompanying rich men.', 'She has no job, but she’s supported by a rich man.",一些女孩认为通过陪伴富有的男人可以过上更好的生活。她没有工作，但她由一个富有的男人支持。
She likes to chat too long on the phone so she spends much money paying her telephone bill.,她喜欢在电话上聊太久，所以她花很多钱支付电话费。
"Before the film hit the theaters, the film company had already started to quick-fry it in order to arouse more media attention.",在电影上映之前，电影公司已经开始快速炒作，以引起更多媒体的关注。
He was beaten severely for stealing things.,他因偷东西而遭到严厉的惩罚。
"He likes to shoot the bull. Whenever he comes, we sit around and listen to him talk.",他喜欢闲聊。每当他来的时候，我们就围坐在一起听他讲。
This competition produced many unexpected results and created a group of young winners.,这场比赛产生了许多意想不到的结果，并培养了一群年轻的获胜者。
"When an accident took place in an amusement park, a tourist immediately called a local evening paper’s hotline and provided them with the news.",当游乐园发生事故时，一名游客立即拨打当地晚报的热线，向他们提供了消息。
The musical play“The Beauty and the Beast” had three shows in Beijing at the end of last year. It was full every time so that they had to put on two extra performances.,音乐剧《美女与野兽》去年年底在北京进行了三场演出。每场都座无虚席，因此他们不得不增加两场额外的演出。
"He hardly ever speaks in public, and it took everyone by surprise when what he said made everyone laugh for quite a while.",他几乎从不在公众场合发言，当他说的话让大家笑了很久时，大家都感到非常惊讶。
Maybe she has already left for Shanghai.,也许她已经离开去上海了。
The bad news almost took her breath away.,坏消息几乎让她窒息。
He drives himself hard to rush his work in order to make more money every day.,他努力工作，拼命赶进度，以便每天赚更多的钱。
That fellow was shot to death yesterday.,那家伙昨天被枪杀了。
He has been so busy recently that he had no time to go to the disco.,他最近忙得不可开交，没时间去迪斯科。
"The wood is very hard.', 'The soup is so delicious.', 'The light is extremely bright.","Here are the translations for the provided sentences:

1. The wood is very hard. - 这木头非常坚硬。
2. The soup is so delicious. - 这汤真好喝。
3. The light is extremely bright. - 这个灯光非常亮。"
The murder was shot to death.,谋杀案的受害者被枪杀。
My son is fond of driving violently and listens to nobody’s warnings. I’m so worried that he will have an accident one day.,我儿子喜欢开车很猛，听不进任何人的警告。我很担心他有一天会出事故。
"Be careful, don’t make the shot go wrong.",小心点，不要让射门失误。
This is a bad article.,这是一篇糟糕的文章。
She looks very healthy. But actually she is often laid low by illness.,她看起来很健康。但实际上，她常常因病而卧床不起。
New parking lines were drawn on both sides of the street to solve the parking problem.,为了解决停车问题，街道两侧重新划了新的停车线。
"He is not afraid of anyone, even his boss.",他不怕任何人，甚至包括他的老板。
"Stop arguing you two. One is a famous brand, another is an inferior brand. They can’t be mentioned in the same breath. It is useless to argue any more.",停止争论你们两个。一个是知名品牌，另一个是劣质品牌。它们不能相提并论。继续争论是没有用的。
He refuses to obey the class monitor.,他拒绝服从班长。
He’s not interested in these kinds of petty matters.,他对这些琐碎的事情不感兴趣。
She doesn’t care what other people think about her.,她不在乎别人对她的看法。
The film is very moving and instructive although what it depicts is trivial.,这部电影非常感人且富有教育意义，尽管它所描绘的内容很琐碎。
"Don’t sit on the windows. This is no trifling matter.', 'I’m serious in telling you not to touch the socket.",不要坐在窗户上。这不是小事。我是认真的，告诉你不要碰插座。
He is a villain who depends on slandering others and licking boots to get himself promoted. Actually he has no real ability or knowledge at all.,他是一个依靠诽谤他人和拍马屁来升职的小人。实际上，他根本没有真正的能力或知识。
Tomorrow we will have a spring outing to Chengde. Lao Wang went to step on the spot yesterday.,明天我们将去承德春游。老王昨天去踩点了。
"I’m one who is not easily trodden upon by anyone.', 'She wants to put down others so as to build up herself.","Here is the translation of the provided text into Chinese:

“我不是一个容易被人践踏的人。” “她想贬低别人，以此来提升自己。”"
"You are so stupid. You can’t do such an easy thing. What else can you do?', 'You are a complete ignoramus. You haven’t ever seen a mobile phone before.",你真笨。你连这么简单的事情都做不好。你还能做什么？你真是个完全的无知者。你之前从来没有见过手机。
I totally failed this time.,我这次完全失败了。
She looks famished.,她看起来饿极了。
She teases her husband by calling him a“cripple” .,她用“瘸子”来调侃她的丈夫。
Don’t be angry with him. He is a rough fellow.,不要生他的气。他是个粗鲁的人。
"Damn you. I waited for you an hour, but you didn’t show up.",该死的。我等了你一个小时，但你没有出现。
She scolded her son for not paying the bus fare.,她责骂了她的儿子，因为他没有支付公交车费。
Two men are fighting in front of the building.,两个男人在大楼前打架。
She left the publishing house and worked as a tourist guide several years ago. She has made a fortune in recent years and earned a lot only from tips.,她几年前离开了出版社，开始做旅游导游。近年来她赚了很多钱，仅靠小费就赚了不少。
I dislike to see him. He is too much of a handful.,我不喜欢见到他。他太难对付了。
The smugglers were so unbridled that they fought furiously with the police.,走私者如此肆无忌惮，以至于与警方激烈搏斗。
A gossip monger can make a small thing into a big event.,八卦传播者可以把小事变成大事件。
"He was unlucky to day. He met some profit reaping guys, who took away all his fish from the pond.",他今天运气不好。他遇到了一些获利的人，他们把池塘里的所有鱼都拿走了。
leather jackets are fashionable this year.,皮夹克在今年很时尚。
He is busy all day buying and reselling foreign currency.,他整天忙于买卖外币。
At the very beginning the built up his family fortune by reselling stocks.,一开始，他通过转售股票积累了家族财富。
You’ll be fired if you come to work late again next time.,如果你下次再迟到，就会被解雇。
"Ms. Zhang got her driver’s license in the morning, and went directly to the car lot to buy a car in the afternoon.",张女士上午拿到了驾照，下午直接去汽车市场买车。
I can help you buy a German car through a second-hand dealer if you want.,我可以帮助你通过二手车商购买一辆德国车，如果你想的话。
I think he’s talking nonsense. Actually he is aware of the facts better than anyone else.,我觉得他在胡说八道。实际上，他对事实的了解比任何人都要清楚。
This will make it even.,这将使它变得平衡。
The family is supported by only my father.,这个家庭只有我父亲在支持。
How heavy is the sliding weight in the steelyard?,滑秤上的滑动重物有多重？
a stupid look,愚蠢的表情
"You should be very careful in the warehouse. If a fire starts, you will be in serious trouble.",你在仓库里应该非常小心。如果发生火灾，你会陷入严重的麻烦。
I haven’t seen him so rude to me. Has he taken the wrong medicine today?,我从没见过他对我这么无礼。他今天是不是吃错药了？
She is often cheated when she buys things in the street because she is too faint-hearted and feels ashamed of bargaining.,她在街上买东西时常常被欺骗，因为她太胆小了，觉得讨价还价很羞愧。
We are equal here. No one will receive a particular treatment.,我们在这里是平等的。没有人会受到特殊对待。
Go ahead and have supper yourself. I’ve been invited to a dinner tonight.,请你自己去吃晚饭。我今晚被邀请参加一个晚宴。
Some good looking guys prefer to live off women these days.,一些长得不错的男人现在更喜欢依赖女性生活。
"Now computers find favor with customers.', 'People who speak English are well-liked everywhere in China.",现在电脑受到顾客的青睐。说英语的人在中国各地都很受欢迎。
"Her father is a teacher, 'so he often teachers her alone', making her do many exercises.', 'He prefers to be taught alone than to go to a lecture.",她的父亲是一名教师，所以他经常单独教她，让她做很多练习。他更喜欢单独学习，而不是去听讲座。
You shouldn’t show off about something you can’t do.,你不应该炫耀你做不到的事情。
My three-year-old daughter insisted on pulling out the card herself.,我三岁的女儿坚持要自己拔出卡片。
He lost all his money at the card table.,他在牌桌上输光了所有的钱。
Whose handwriting is this? It’s really bad.,这是谁的字？真难看。
How stupid! You can’t even play the simplest game.,多么愚蠢！你连最简单的游戏都玩不好。
She likes to make herself up in front of the mirror.,她喜欢在镜子前化妆。
She is well know in our class for being the fussiest about her appearance.,她在我们班里以对自己外貌的挑剔而闻名。
"At the start of the race, 'he shot the gun three times', but it wouldn’t go off because of the dumb fire.",在比赛开始时，“他开了三枪”，但由于哑火，枪却没有响。
Most people hope to have achieved something by the time they reach forty.,大多数人希望在四十岁时能够有所成就。
He is quite odd. He often does things out of the ordinary.,他很奇怪。他经常做一些不寻常的事情。
Xiao Li has just graduated from a police school. This is his first time he has made his rounds after becoming a policeman.,小李刚刚从警校毕业。这是他成为警察后第一次巡逻。
Two players from the Red Team were eliminated in the preliminary contest this afternoon. The other three have entered the semi-finals.,今天下午，红队的两名选手在预赛中被淘汰。其他三名选手已晋级半决赛。
He didn’t open his stand yesterday because of the heavy rain.,他昨天没有开摊，因为下了大雨。
He’s a new hand at this. He doesn’t know how to handle the situation.,他在这方面是个新手。他不知道如何处理这种情况。
The pop star was very moved when he recalled his first experience playing a role in a TV series.,这位流行歌星在回忆起他第一次在电视剧中扮演角色的经历时，非常感动。
I very nearly let the cat out of the bad. I didn’t know he hadn’t told his wife about his bicycle being lost.,我差点泄露了秘密。我不知道他还没有告诉他的妻子他的自行车丢了。
I’m not afraid of her making my life difficult.,我不怕她让我的生活变得困难。
He tried to cover up the facts by telling lies. But his screen was torn off at last.,他试图通过撒谎来掩盖事实，但最终他的伪装被揭穿了。
I think this matter will fall through sooner or later if they don’t give us a hand.,我认为如果他们不伸出援手，这件事迟早会失败。
Would you please help me erect the bamboo pole?,请你帮我竖起竹竿吗？
Yesterday my boss gave me a good talking-to. He said that I shouldn’t have sold these goods at a cheaper price without authorization.,昨天我的老板对我进行了严厉的训斥。他说我不应该未经授权就以更低的价格出售这些商品。
The machine is really pool. It breaks down easily.,这台机器真的很糟糕。它很容易坏。
My wife is a jealous woman. She always keeps a close eye on me.,我妻子是个嫉妒的女人。她总是密切关注我。
"An appendectomy costed1, '000yuan two years ago', 'but the price was hiked up to 5', 000yuan early this year.","阑尾切除手术两年前的费用是1,000元，但今年年初价格上涨到了5,000元。"
This is the first time for her to play the role of a girl from the country in a film.,这是她第一次在电影中饰演一个来自乡村的女孩。
Let’s eat out somewhere.,我们去外面吃点东西吧。
She likes to buy second quality vegetables in the market to save money.,她喜欢在市场上买二等蔬菜来省钱。
He’s playing mahjong at home.,他在家里打麻将。
That short man is his father.,那个矮个子是他的父亲。
I’ll collaborate with him to write a novel.,我会和他合作写一本小说。
Lao Wang divorced his wife just last month. But this month he will marry his new girlfriend.,老王上个月刚和妻子离婚。但这个月他将和新女友结婚。
I came here by taxi because of the rain.,我因为下雨而打车来了这里。
There are lots of female workers from other parts of the country here.,这里有很多来自全国各地的女性工人。
I am not joking . I’m serious.,我不是在开玩笑。我是认真的。
He played ducks and drakes with all his money on that business deal.,他在那笔生意上把所有的钱都打水漂了。
Young people are always moving around looking for a better job.,年轻人总是在四处奔波寻找更好的工作。
Hold on! We can’t discuss this any longer.,等一下！我们不能再讨论这个了。
"You don’t know him. He is really big clove of garlic, and always likes to talk in the tones of a boss.",你不认识他。他真的是一颗很大的大蒜，总是喜欢用老板的语气说话。
"The scene of contest was extremely hot. The athletes competed fiercely. There was also a competition between journalists, trying to be the first to send the latest news of the results of the competition.",比赛现场异常炎热。运动员们激烈竞争。记者们之间也展开了竞争，争先恐后地想要第一时间发送比赛结果的最新消息。
She bought an overcoat from that shop when it had its grand sale at the end of the year.,她在年底大促销时从那家店买了一件外套。
You’re over thirty. How come you don’t worry? Do you really want to be a big crane?,你已经三十多岁了。你怎么不担心呢？你真的想成为一只大鹤吗？
I suffered a great loss today.,我今天遭受了巨大的损失。
D1:He takes cellular  phone around with him so he can get in touch with his boss at any time.,他随身携带手机，以便随时与他的老板联系。
She has become one of the most famous singers in the country.,她已成为该国最著名的歌手之一。
His girlfriend won’t marry him until he’s bought the four items.,他的女朋友在他买了那四样东西之前不会嫁给他。
His opponent is tall and hefty.,他的对手又高又壮。
"This week is the“big weekend”, so a lot of people will go to the Fragrant Hills on Saturday. I don’t want to go because there will be too many people.",这周是“长周末”，所以很多人会在星期六去香山。我不想去，因为人太多了。
The store at the corner of the street mainly sells cheap goods.,街角的商店主要出售便宜的商品。
The outlook of the school is agreeable.,学校的外观令人愉悦。
My wife wears the trousers at my home.,我家里是我妻子说了算。
We had dinner at the food stalls last night.,我们昨晚在小吃摊吃了晚餐。
Don’t take a deep breath. Please tell me immediately what happened there.,不要深呼吸。请立即告诉我那里发生了什么。
"Now many celebrities in China have their own houses, cars and companies.",现在许多中国名人都有自己的房子、汽车和公司。
"He passed him off as a sorcerer, and went about cheating people.",他把他当作一个巫师，四处欺骗别人。
He was happy to see that his wife had given birth to a baby boy.,他很高兴看到他的妻子生下了一个男婴。
She goes to work by bicycle everyday.,她每天骑自行车上班。
Do you have any one-yuan notes? Can you give me some?,你有一元的纸币吗？可以给我一些吗？
"They say there’s a girl in your class who’s a real idiot. But she’s also a literature fanatic, and often publishes articles on the Internet.",他们说你班上有个女孩真是个傻瓜。但她也是个文学狂热者，经常在网上发表文章。
billiards room.,台球室
Don’t get in my way.,别妨碍我。
Would you please wind the thread for me?,请你帮我把线缠起来吗？
She gets dolled up every morning.,她每天早上都打扮得漂漂亮亮的。
Speculation in foreign currency is forbidden by law.,外汇投机是法律禁止的。
He decided to quit his job to become a speculator.,他决定辞掉工作去成为一名投机者。
Speculators form other parts of the country come to Beijing to make cash.,来自全国其他地区的投机者来到北京赚钱。
Xiao Zhang is from another part of the country and works alone in Beijing. He hopes to have a Beijing girlfriend. He doesn’t care if he goes to live with his girlfriend in her parents’ home after marriage.,小张来自国家的另一部分，独自在北京工作。他希望能有一个北京女朋友。他不在乎结婚后是否和女朋友一起住在她父母家。
"The boy got up, clad in his shoes and ran out of the room.",男孩穿着鞋子起床，跑出了房间。
He is really like retarded child! He doesn’t even know how to wash his clothes!,他真像个智障孩子！他连怎么洗衣服都不知道！
Most his friends are taxi drivers.,他的大多数朋友都是出租车司机。
You’d better take a taxi to the airport early tomorrow. Don’t forget to ask for a receipt from the taxi driver so that I can submit an expense account for you.,你最好明天早点打车去机场。别忘了向出租车司机索要收据，这样我可以为你提交报销单。
Because of the good food and low prices many male taxi divers go there for meals every day.,由于美味的食物和低廉的价格，许多男性出租车司机每天都去那里用餐。
He has worked as a rubbish scooper for thirty years.,他已经做了三十年的垃圾清理工。
Guess how much this book weighs.,猜猜这本书有多重。
"When we meet with difficulties, he runs faster than anyone.', 'Let them wait there. I’ll leave first.",当我们遇到困难时，他跑得比任何人都快。让他们在那里等着。我先走。
"There must be someone who informed against us on this case, otherwise they coldn’t have acted so quickly.",这件事一定有人向我们告发，否则他们不可能行动得这么快。
The police got this information form a squealer.,警方是通过一个告密者获得这个信息的。
He will take a scapegoat with him even if he is going to die.,他即使要死也会带上替罪羊。
I know you are all better than me in mathematics. I’m afraid that I’m the worst.,我知道你们在数学方面都比我强。我担心我可能是最差的。
The power tigers in our area very fearsome. They will cut your electricity off if you don’t bribe them.,我们地区的电力公司非常可怕。如果你不贿赂他们，他们会切断你的电力供应。
"As soon as the news of this chain store hiring married saleswomen spread, over 300 laid off women rushed here to apply for the job.",一旦这个连锁店招聘已婚女销售员的消息传出，超过300名被裁员的女性迅速赶来申请这份工作。
"Usually he has good marks, but he always goes wrong in examinations. Perhaps this is caused by a flaw in his psychological make-up.",通常他的成绩很好，但他在考试中总是出错。也许这与他的心理构成有缺陷有关。
At present people are all good at calculating their own worth. As soon as they are told to work more they will ask you for money.,目前，人们都擅长计算自己的价值。一旦被要求多工作，他们就会向你索要报酬。
Don’t embarrass me by wearing this shabby clothes to a dinner party.,不要穿这身破旧的衣服去晚宴，让我感到尴尬。
"I can bear such pain.', 'They can stand up to any difficulties.","The translation of the provided text to Chinese is:

""我能忍受这样的痛苦。"" ""他们能面对任何困难。"""
My computer is broken. Can’t you find me an expert to see what’s wrong with it?,我的电脑坏了。你能不能帮我找个专家看看它有什么问题？
Don’t show off outside any more in such a cold day. Come back home and have a rest quickly.,不要在这么冷的天气里再外面炫耀了。快回家休息吧。
She is happy to see her small piece in a newspaper.,她很高兴在报纸上看到她的小作品。
"Whenever she has nothing to do, she picks a fight with her husband.",每当她无事可做时，就会和丈夫吵架。
My daughter is not selfish. She enjoys sharing her goodies with other kids.,我的女儿并不自私。她喜欢与其他孩子分享她的好东西。
As a result of the“cultural revolution” there has been a severe shortage of researchers in our research institutions. All our researches are either too old or too young. We have simply lost a generation of middle-aged researchers.,由于“文化大革命”，我们的研究机构出现了严重的研究人员短缺。我们所有的研究人员要么年纪太大，要么年纪太小。我们已经失去了一代中年研究人员。
All the shoes which don’t have a full range of sizes in this shop are sold at half price.,在这家店里，所有没有全尺码的鞋子都以半价出售。
Xiao Han will get married this weekend. Let’s choose a pair of watches for them as a wedding present.,小韩这个周末要结婚了。我们来为他们挑选一对手表作为结婚礼物吧。
It’s fashionable for young people to wear matching shirts this summer,今年夏天，年轻人穿着配套衬衫很时尚。
Every morning he has a bowel movement at this time.,他每天早上这个时候都会排便。
He was sent to stake out the house and keep an eye on the criminal’s activities.,他被派去监视那所房子，留意犯罪分子的活动。
"He’s vulnerable to talk, so he often changes his mind.",他容易受到影响，所以他经常改变主意。
He came back from the United States because he doesn’t like to be a second-class citizen there.,他从美国回来，因为他不喜欢在那里做二等公民。
He never retreats when he is in trouble.,他在遇到困难时从不退缩。
"Three months after he was set free, he was jailed again for robbery.",他被释放三个月后，又因抢劫被监禁。
She sold her 21-inch remote control color television and bought a bigger one.,她卖掉了她的21英寸遥控彩色电视，买了一台更大的。
You’ve swelled out again since I saw you a year ago.,你自从我一年前见到你以来又胖了。
I was terrified when I heard the shriek at night.,我在晚上听到尖叫声时感到非常害怕。
I got into a muddle when he asked me the question.,我在他问我这个问题时搞得一团糟。
He knows a lot about the prices of the latest and most hi-tech sound systems.,他对最新和最先进的音响系统的价格了解很多。
This novel jumped to be a best seller because it was plugged damming.,这部小说迅速成为畅销书，因为它得到了强力宣传。
"Well, let’s repair the bicycle by ourselves. It’s pointless to get angry with him for such a small problem.",好的，我们自己来修自行车吧。因为这样的小问题而生他的气是没有意义的。
"Stand still here as I ordered. Don’t do anything else.', 'He always acts differently in front of me and doesn’t listen to what I say.",站在这里，听我命令。不要做其他任何事情。 他在我面前总是表现得不一样，不听我说的话。
"I have been invited to a dinner this evening, so I will come back a bit late.",我今晚被邀请参加一个晚宴，所以我会晚一点回来。
The new style of high-and broad-heeled shoes has come into fashion this year.,今年，高跟宽底鞋的新款式已经流行起来。
He spent ten thousand yuan all for one set of sofa.,他花了一万元只为了一个沙发套装。
Feilong’s eyes can express strong passion. No vonder all the grils who have ever met him tend to be attracted by him.,飞龙的眼睛能表达强烈的激情。难怪所有见过他的女孩都倾向于被他吸引。
"How dare he stand me up yesterday! He made me wait for an hour in the cold, and he never showed up.",他居然敢昨天放我鸽子！他让我在寒冷中等了一个小时，却从来没有出现。
"All taxi drivers are afraid of driving back without passengers. Since there are few people living there, no taxi driver likes to take customers there.",所有出租车司机都害怕没有乘客回程。由于那里居住的人很少，没有出租车司机愿意带顾客去那里。
The thief returned all the stolen goods and begged the young policeman to let him off.,小偷归还了所有被盗的物品，并恳求年轻的警察放他一马。
"That fellow, 'although re-educated in jail for three years', still has a hooliganish look.",那个家伙“虽然在监狱里接受了三年的再教育”，但看起来仍然很流氓。
"As the“Super girl” contest became white-hot, numerous fans became more and more excited.",随着“超级女声”比赛的火热进行，众多粉丝变得越来越兴奋。
"After he won the boxing championship, he really became a man of the hour for a period.",在他赢得拳击冠军后，他确实在一段时间内成为了众人瞩目的焦点。
It’s your stroke of luck to have such a good wife.,你真是幸运，能有这么好的妻子。
"Nowadays, 'there are quite a few rich women among the bachelors. They have their own apartments', 'cars', and a highly paid job.",如今，“在单身男性中，有不少富有的女性。她们拥有自己的公寓”、“汽车”和高薪工作。”
You’re getting chubbier and chubbier.,你变得越来越胖了。
This fellow is a queer specimen.,这个家伙是个奇怪的样本。
"I heard you got a promotion recently, so you certainly should treat me to this meal.",我听说你最近升职了，所以你当然应该请我吃这顿饭。
Now most beggars in railway stations came from different beggar groups.,现在大多数在火车站乞讨的乞丐来自不同的乞讨团体。
The Chinese women volleyball team is the best.,中国女子排球队是最棒的。
This time my father brought back many expensive things from Japan. Come over a look if you have time.,这次我父亲从日本带回了很多贵重的东西。如果你有时间过来看看吧。
"He is scared stiff to hear that he will take an examination tomorrow.', 'He trembles with fear at the thought of being asked to give a speech.",他听说明天要考试，吓得僵住了。想到要被要求演讲，他害怕得发抖。
We can be in time for the train if we leave right now for the railway station.,如果我们现在就去火车站，我们可以及时赶上火车。
I haven’t seen you for two years. You’re even more fashionable than before.,我已经两年没见你了。你比以前更时尚了。
He invited his Hong Kong friends for a meal.,他邀请了他的香港朋友们一起吃饭。
"I’ve just met a boy from Hong Kong, who taught me a little Cantoness.",我刚刚遇到一个来自香港的男孩，他教了我一点粤语。
You really have a one-track mind. Why don’t you do this first and that later?,你真是心思单一。为什么不先做这个，再做那个呢？
Street vendors usually charge the rich exorbitant prices.,街头小贩通常向富人收取高额费用。
The general manager is not in today so this plan can’t be settled. We have to wait till tomorrow.,总经理今天不在，所以这个计划无法敲定。我们得等到明天。
This new film is full of amusing scenes that itt has attracted many viewers and its box-office value has leaped to first place.,这部新电影充满了有趣的场景，因此吸引了许多观众，票房价值跃升至第一位。
He is very peculiar. He never lets others touch his books or borrow them.,他非常特别。他从不让别人碰他的书或借他的书。
"My husband is quite eccentric, others find him hard to work with.",我的丈夫非常古怪，其他人觉得和他一起工作很困难。
She sings so bad. Let’s boo her.,她唱得太糟糕了。我们来给她喝倒彩吧。
"Since the Harry Potter series were published and became a global success, many publishers have followed the trend and published books about magic stories.",自《哈利·波特》系列出版并取得全球成功以来，许多出版社纷纷跟随这一趋势，出版关于魔法故事的书籍。
I know I can’t compare with him because he has strong support(connections).,我知道我无法与他相比，因为他有强大的支持（人脉）。
He is too blunt to work with other people.,他太直率了，无法与其他人合作。
He doesn’t want to solve the problem in the proper way because the police will take away his driving license.,他不想以正确的方式解决这个问题，因为警察会吊销他的驾驶执照。
I don’t think people like to hear you sing since you’ve got a raucous voice.,我觉得人们不太喜欢听你唱歌，因为你的声音很粗哑。
The house you decorated is up to hotel standards.,你装饰的房子达到了酒店标准。
He likes to tinker with the television.,他喜欢摆弄电视。
She’s got light bones and likes to flirt with men.,她的骨架轻盈，喜欢和男人调情。
You should be very careful because you have already established a criminal record with the police.,你应该非常小心，因为你已经在警方那里建立了犯罪记录。
"Zhang Yimou, director of the film“Red Sorghum” is known for his extraordinary artistic talent in Chinese film circles.",张艺谋，电影《红高粱》的导演，以其在中国电影界卓越的艺术才华而闻名。
It would look the best if you wore this belt.,如果你戴上这条腰带，效果会最好。
"This silk is really smooth.', 'Be careful when you walk on the marble floor. It’s very slippery.",这丝绸真的很光滑。走在大理石地板上要小心，它非常滑。
This boy is very smart. He always exploits our loopholes.,这个男孩很聪明。他总是利用我们的漏洞。
Don’t you know that foreigners like Chinese food? That’s why business in Chinese restaurants is always so prosperous.,你不知道外国人喜欢中国菜吗？这就是为什么中餐馆的生意总是如此兴隆。
He likes to smoke imported cigarettes and drink whiskey.,他喜欢抽进口香烟和喝威士忌。
"Most international traders come to buy clothes in Xiushui Street, which has resulted in a great boom for business.",大多数国际贸易商来到秀水街购买衣服，这为商业带来了巨大的繁荣。
I think you overdid your part in the play.,我觉得你在剧中的表演有些过火了。
"Do you know, most of the people who participated in this Young Singers’ Contest are young people who love Korean pop songs?",你知道吗，参加这个年轻歌手比赛的大多数人都是热爱韩国流行歌曲的年轻人吗？
He was the children’s leader when he was young.,他年轻时是孩子们的领袖。
big talk,大话
"Hospitals know exactly who these registration-ticket scalpers are, but they’re unable to drive them out of the hospitals because they don’t have the legal right to do so.",医院确切知道这些挂号票倒卖者是谁，但由于没有法律权利，他们无法将其驱逐出医院。
I usually eat boxed meals on the train when I go on business or trips.,我通常在出差或旅行时在火车上吃盒饭。
I don’t know in which corner the cat is hiding.,我不知道猫藏在哪个角落。
"Every time when he visits me, 'I know there must be something urgent', otherwise he wouldn’t come himself.",每次他来拜访我时，我就知道一定有紧急的事情，否则他不会亲自来。
"She came to me in an extreme hurry and asked whether I saw her keys.', 'He looked hyperanxious, as if someone had taken away all his money.",她急匆匆地来到我面前，问我是否看见她的钥匙。 他看起来非常焦虑，仿佛有人把他所有的钱都拿走了。
He left the Shangdong basketball team and joined the Beijing team.,他离开了山东篮球队，加入了北京队。
I’ll buy a family-size box of ice-cream.,我会买一盒家庭装冰淇淋。
All of you go back and do what you should do. Don’t stand here and make troubles.,你们都回去做你们该做的事。不要在这里捣乱。
Everyone likes to take advantage of the weak.,每个人都喜欢利用弱者。
I’ll never have any dealings with him. He likes to use lame arguments.,我绝不会和他有任何往来。他喜欢使用无力的论据。
Most people prefer to save their money rather than buy stocks.,大多数人更喜欢存钱而不是购买股票。
How dare you challenge him! He has just graduated from martial arts school.,你怎么敢挑战他！他刚从武术学校毕业。
"Some of the audience didn’t like the singer, so whistled and hooted endlessly in the theater.",一些观众不喜欢这位歌手，因此在剧院里不停地吹口哨和嘲笑。
She likes to argue with people.,她喜欢和人争论。
No one expected that this movie would be such a great box-office success.,没有人会想到这部电影会如此成功地票房大卖。
Your sisters(female friends)are missing you a lot. They have decided to come and see you tomorrow.,你的姐妹（女性朋友）非常想念你。她们决定明天来见你。
She aspires to be a policewoman like her elder sister.,她渴望像她的姐姐一样成为一名警察。
"There wasn’t much business today, so he packed up the stall early and left for home.",今天生意不太好，所以他早早收摊，回家了。
Lao Zhao said jokingly to his wife that he could never make his dream of having a son come true because he had married a woman of beauty who will not produce a male heir.,老赵开玩笑地对妻子说，他永远无法实现有一个儿子的梦想，因为他娶了一个美丽的女人，她不会生下男性继承人。
He is as stubborn as a bullheaded mule.,他像头牛脾气的骡子一样固执。
