lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
en,bank,The land alongside or sloping down to a river or lake,The land alongside or sloping down to a river or lake,a great deal of money,a great deal of money
en,banter,The playful and friendly exchange of teasing remarks,The playful and friendly exchange of teasing remarks,"Gossip, Fun, Cheeky Chat","Gossip, Fun, Cheeky Chat"
en,bap,"A large , round , flattish bread roll , typically with a spongy texture and floury top","A large , round , flattish bread roll , typically with a spongy texture and floury top",verbal imitation of gunfire,verbal imitation of gunfire
en,barbie,A doll representing a conventionally attractive young woman,A doll representing a conventionally attractive young woman,barbecue,barbecue
en,bareback,On an unsaddled horse or other animal,On an unsaddled horse or other animal,"of sex, unprotected sex","of sex, unprotected sex"
en,barge,"A long flat - bottomed boat for carrying freight on canals and rivers , either under its own power or towed by another","A long flat - bottomed boat for carrying freight on canals and rivers , either under its own power or towed by another",a large car,a large car
en,base,"The lowest part or edge of something , especially the part on which it rests or is supported","The lowest part or edge of something , especially the part on which it rests or is supported","perverted, horny, animalistic","perverted, horny, animalistic"
en,bate,( of a hawk ) beat the wings in agitation and flutter off the perch,( of a hawk ) beat the wings in agitation and flutter off the perch,masturbate,masturbate
en,battered,Injured by repeated blows or punishment,Injured by repeated blows or punishment,extremely intoxicated,extremely intoxicated
en,beagle,"A small hound of a breed with a short coat , used for hunting hares","A small hound of a breed with a short coat , used for hunting hares",a funny person; joker; smart-ass; class clown,a funny person; joker; smart-ass; class clown
en,beam,"A long , sturdy piece of squared timber or metal used to support the roof or floor of a building","A long , sturdy piece of squared timber or metal used to support the roof or floor of a building",to hit in the head,to hit in the head
en,bean,"An edible seed , typically kidney - shaped , growing in long pods on certain leguminous plants","An edible seed , typically kidney - shaped , growing in long pods on certain leguminous plants",an Ecstasy (MDMA) pill or tablet,an Ecstasy (MDMA) pill or tablet
en,bear,( of a person ) carry,( of a person ) carry,a difficult task,a difficult task
en,beast,"An animal , especially a large or dangerous four - footed one","An animal , especially a large or dangerous four - footed one","very good, excellent;","very good, excellent;"
en,beastly,Cruel and unrestrained,Cruel and unrestrained,"very good, excellent;","very good, excellent;"
en,beat,"Strike ( a person or an animal ) repeatedly and violently so as to hurt or injure them , typically with an implement such as a club or whip","Strike ( a person or an animal ) repeatedly and violently so as to hurt or injure them , typically with an implement such as a club or whip",lacking excitement or people; boring,lacking excitement or people; boring
en,beat down,( of the sun ) radiate intense heat and brightness,( of the sun ) radiate intense heat and brightness,a fight or severe beating.  One typically gives or puts a beat down.  See,a fight or severe beating.  One typically gives or puts a beat down.  See
en,beater,"A person who hits someone or something , typically on a habitual basis","A person who hits someone or something , typically on a habitual basis",unattractive or undesirable.  Applied to a person,unattractive or undesirable.  Applied to a person
en,beauty,"A combination of qualities , such as shape , colour , or form , that pleases the aesthetic senses , especially the sight","A combination of qualities , such as shape , colour , or form , that pleases the aesthetic senses , especially the sight","An exclamation used by itself when something of exceptional sweetness or luck occurs, like sinking a whole in one on a 300 yard hole. Also used to congratulate oneself or another on a sturdy or exceptional performance","An exclamation used by itself when something of exceptional sweetness or luck occurs, like sinking a whole in one on a 300 yard hole. Also used to congratulate oneself or another on a sturdy or exceptional performance"
en,beaver,A large semiaquatic broad - tailed rodent native to North America and northern Eurasia . It is noted for its habit of gnawing through trees to fell them in order to make dams,A large semiaquatic broad - tailed rodent native to North America and northern Eurasia . It is noted for its habit of gnawing through trees to fell them in order to make dams,vagina,vagina
en,bed,"A piece of furniture for sleep or rest , typically a framework with a mattress","A piece of furniture for sleep or rest , typically a framework with a mattress",to have sex with someone,to have sex with someone
en,beef,"The flesh of a cow , bull , or ox , used as food","The flesh of a cow , bull , or ox , used as food",a problem or grudge with someone,a problem or grudge with someone
en,beeswax,The wax secreted by bees to make honeycombs and used to make wood polishes and candles,The wax secreted by bees to make honeycombs and used to make wood polishes and candles,business,business
en,behind,"At or to the far side of ( something ), typically so as to be hidden by it","At or to the far side of ( something ), typically so as to be hidden by it",buttocks,buttocks
en,bender,An object or person that bends something,An object or person that bends something,an extended period of alcohol or drug use.  Usually more than a single night,an extended period of alcohol or drug use.  Usually more than a single night
en,bent,Sharply curved or having an angle,Sharply curved or having an angle,greatly under the influence of alcohol or drugs,greatly under the influence of alcohol or drugs
en,bet,Risk a sum of money or valued item against someone else's on the basis of the outcome of an unpredictable event such as a race or game,Risk a sum of money or valued item against someone else's on the basis of the outcome of an unpredictable event such as a race or game,"a confirmation, or a contract expression used in betting scenarios","a confirmation, or a contract expression used in betting scenarios"
en,beta,"The second letter of the Greek alphabet (, ), transliterated as b","The second letter of the Greek alphabet (, ), transliterated as b",a pre-release product that is released for testing,a pre-release product that is released for testing
en,billy,"A tin or enamel cooking pot with a lid and a wire handle , for use when camping","A tin or enamel cooking pot with a lid and a wire handle , for use when camping",abbreviated form of hillbilly,abbreviated form of hillbilly
en,bin,A receptacle in which to deposit rubbish,A receptacle in which to deposit rubbish,"to throw away, i.e. put into a trash bin","to throw away, i.e. put into a trash bin"
en,binder,A cover for holding magazines or loose sheets of paper together,A cover for holding magazines or loose sheets of paper together,a rubber band,a rubber band
en,bing,"A heap , especially of metallic ore or of waste from a mine","A heap , especially of metallic ore or of waste from a mine",jail or prison,jail or prison
en,biscuit,"A small baked unleavened cake , typically crisp , flat , and sweet","A small baked unleavened cake , typically crisp , flat , and sweet",Cheap or poor quality,Cheap or poor quality
en,bitch,"A female dog , wolf , fox , or otter","A female dog , wolf , fox , or otter","the middle seat in the front or back of a vehicle.  The term is used most frequently to refer to the back, likely simply because most modern vehicles (especially cars) don't have a middle seat in the front","the middle seat in the front or back of a vehicle.  The term is used most frequently to refer to the back, likely simply because most modern vehicles (especially cars) don't have a middle seat in the front"
en,bitter,"Having a sharp , pungent taste or smell ; not sweet","Having a sharp , pungent taste or smell ; not sweet",abbreviated form of bitterly cold,abbreviated form of bitterly cold
en,black and white,"( of a photograph , film , television programme , etc .) in black , white , shades of grey , and no other colour","( of a photograph , film , television programme , etc .) in black , white , shades of grey , and no other colour",An issue/thought process that divides everything into two opposing categories,An issue/thought process that divides everything into two opposing categories
en,blast,A destructive wave of highly compressed air spreading outwards from an explosion,A destructive wave of highly compressed air spreading outwards from an explosion,something very fun,something very fun
en,blasted,Withered or blighted ; laid waste,Withered or blighted ; laid waste,"v. slang for getting shot, made popular by rap music artists, in the mid 90's","v. slang for getting shot, made popular by rap music artists, in the mid 90's"
en,blaze,A very large or fiercely burning fire,A very large or fiercely burning fire,an extremely attractive person,an extremely attractive person
en,blazing,Very hot,Very hot,extremely attractive,extremely attractive
en,blind,"Unable to see because of injury , disease , or a congenital condition","Unable to see because of injury , disease , or a congenital condition",In love,In love
en,blip,"An unexpected , minor , and typically temporary deviation from a general trend","An unexpected , minor , and typically temporary deviation from a general trend",a short amount of time,a short amount of time
en,blonde,( of hair ) fair or pale yellow,( of hair ) fair or pale yellow,dumb or stupid,dumb or stupid
en,blood,"The red liquid that circulates in the arteries and veins of humans and other vertebrate animals , carrying oxygen to and carbon dioxide from the tissues of the body","The red liquid that circulates in the arteries and veins of humans and other vertebrate animals , carrying oxygen to and carbon dioxide from the tissues of the body",a member of the Bloods gang,a member of the Bloods gang
en,bloody,"Covered , smeared , or running with blood","Covered , smeared , or running with blood",an intensifier.  A somewhat less offensive replacement for fucking.  UK slang,an intensifier.  A somewhat less offensive replacement for fucking.  UK slang
en,blotter,"A sheet or pad of blotting paper in a frame , kept on a desk","A sheet or pad of blotting paper in a frame , kept on a desk",LSD (acid) on blotter paper,LSD (acid) on blotter paper
en,blow,( of wind ) move creating an air current,( of wind ) move creating an air current,cocaine,cocaine
en,blower,"A person or thing that blows , especially a mechanical device for creating a current of air used to dry or heat something","A person or thing that blows , especially a mechanical device for creating a current of air used to dry or heat something",a person or object that erred,a person or object that erred
en,blow up,Explode,Explode,to significantly increase in one's socio-economic status,to significantly increase in one's socio-economic status
en,blowy,Windy or windswept,Windy or windswept,a lie,a lie
en,blue screen,( in film and video techniques such as chromakey ) a blue background in front of which moving subjects are filmed and which allows a separately filmed background to be added to the final image,( in film and video techniques such as chromakey ) a blue background in front of which moving subjects are filmed and which allows a separately filmed background to be added to the final image,a complete computer crash,a complete computer crash
en,bluff,An attempt to deceive someone into believing that one can or is going to do something,An attempt to deceive someone into believing that one can or is going to do something,to lie,to lie
en,blunt,( of a cutting implement ) not having a sharp edge or point,( of a cutting implement ) not having a sharp edge or point,a marijuana cigarette;,a marijuana cigarette;
en,bob,"Make a quick , short movement up and down","Make a quick , short movement up and down",a fat woman.  Acronym for Big Ol\' Bitch,a fat woman.  Acronym for Big Ol\' Bitch
en,bog,An area of wet muddy ground that is too soft to support a heavy body,An area of wet muddy ground that is too soft to support a heavy body,a restroom.,a restroom.
en,bogey,A score of one stroke over par at a hole,A score of one stroke over par at a hole,an enemy aircraft,an enemy aircraft
en,bologna,"A large smoked sausage made of bacon , veal , pork suet , and other meats","A large smoked sausage made of bacon , veal , pork suet , and other meats",nonsense,nonsense
en,bomb,"A container filled with explosive or incendiary material , designed to explode on impact or when detonated by a timing , proximity , or remote - control device","A container filled with explosive or incendiary material , designed to explode on impact or when detonated by a timing , proximity , or remote - control device",good; excellent; cool,good; excellent; cool
en,bombed,( of an area or building ) subjected to bombing,( of an area or building ) subjected to bombing,extremely drunk,extremely drunk
en,bone,Any of the pieces of hard whitish tissue making up the skeleton in humans and other vertebrates,Any of the pieces of hard whitish tissue making up the skeleton in humans and other vertebrates,"the penis, especially when erect","the penis, especially when erect"
en,boo,Said suddenly to surprise someone who is unaware of one's presence,Said suddenly to surprise someone who is unaware of one's presence,"interjection used to express disappointment or outrage, usually in public gatherings such as sporting events, speeches, and musical performances","interjection used to express disappointment or outrage, usually in public gatherings such as sporting events, speeches, and musical performances"
en,booby,A stupid person,A stupid person,promiscuous,promiscuous
en,boogie,"A style of blues played on the piano with a strong , fast beat","A style of blues played on the piano with a strong , fast beat",to leave,to leave
en,boojum,An imaginary dangerous animal,An imaginary dangerous animal,girlfriend or boyfriend,girlfriend or boyfriend
en,book,A written or printed work consisting of pages glued or sewn together along one side and bound in covers,A written or printed work consisting of pages glued or sewn together along one side and bound in covers,cool.  From predictive software used in cell phone text messaging.  Book and cool share the same key sequence,cool.  From predictive software used in cell phone text messaging.  Book and cool share the same key sequence
en,bookish,( of a person or way of life ) devoted to reading and studying,( of a person or way of life ) devoted to reading and studying,studious,studious
en,boom,"A loud , deep , resonant sound","A loud , deep , resonant sound","of a business, to be performing well.  Of a product, to be selling well","of a business, to be performing well.  Of a product, to be selling well"
en,boomerang,"A curved flat piece of wood that can be thrown so that it will return to the thrower , traditionally used by Australian Aborigines as a hunting weapon","A curved flat piece of wood that can be thrown so that it will return to the thrower , traditionally used by Australian Aborigines as a hunting weapon",to keep breaking up and getting back together with someone quickly,to keep breaking up and getting back together with someone quickly
en,booster,A device for increasing electrical voltage or signal strength,A device for increasing electrical voltage or signal strength,"Used to indicate that something has to be done fast, immediately.","Used to indicate that something has to be done fast, immediately."
en,boot,"A sturdy item of footwear covering the foot and ankle , and sometimes also the lower leg","A sturdy item of footwear covering the foot and ankle , and sometimes also the lower leg",A person from Louisiana,A person from Louisiana
en,boots,"A person employed in a hotel to clean boots and shoes , carry luggage , and perform other menial tasks","A person employed in a hotel to clean boots and shoes , carry luggage , and perform other menial tasks",ugly,ugly
en,booty,"Valuable stolen goods , especially those seized in war","Valuable stolen goods , especially those seized in war","bad, displeasing.  As if from one's buttocks","bad, displeasing.  As if from one's buttocks"
en,boss,A stud on the centre of a shield,A stud on the centre of a shield,"very good, excellent; cool; awesome.  Antiquated term","very good, excellent; cool; awesome.  Antiquated term"
en,bottle,"A glass or plastic container with a narrow neck , used for storing drinks or other liquids","A glass or plastic container with a narrow neck , used for storing drinks or other liquids",nitrous oxide for automotive racing purposes.  Known in the import and/or street racing crowds as nos or nahs,nitrous oxide for automotive racing purposes.  Known in the import and/or street racing crowds as nos or nahs
en,bottom,The lowest point or part of something,The lowest point or part of something,homosexual male who prefers being sodomized rather than sodomizing during sex,homosexual male who prefers being sodomized rather than sodomizing during sex
en,bounce,"( with reference to an object , especially a ball ) move quickly up , back , or away from a surface after hitting it","( with reference to an object , especially a ball ) move quickly up , back , or away from a surface after hitting it",to leave,to leave
en,bowl,"A round , deep dish or basin used for food or liquid","A round , deep dish or basin used for food or liquid","a marijuana smoking pipe.  Most frequently bowls are made out of blown glass, but can be made of metal, wood, etc","a marijuana smoking pipe.  Most frequently bowls are made out of blown glass, but can be made of metal, wood, etc"
en,box,"A container with a flat base and sides , typically square or rectangular and having a lid","A container with a flat base and sides , typically square or rectangular and having a lid",a vagina,a vagina
en,boy,A male child or youth,A male child or youth,general exclamation,general exclamation
en,brain,"An organ of soft nervous tissue contained in the skull of vertebrates , functioning as the coordinating centre of sensation and intellectual and nervous activity","An organ of soft nervous tissue contained in the skull of vertebrates , functioning as the coordinating centre of sensation and intellectual and nervous activity",fellatio,fellatio
en,brand,A type of product manufactured by a particular company under a particular name,A type of product manufactured by a particular company under a particular name,tattoo,tattoo
en,brat,"A child , typically one that is badly behaved","A child , typically one that is badly behaved",bratwurst,bratwurst
en,bratwurst,A type of fine German pork sausage that is generally fried or grilled,A type of fine German pork sausage that is generally fried or grilled,an extremely large penis,an extremely large penis
en,bread,"Food made of flour , water , and yeast mixed together and baked","Food made of flour , water , and yeast mixed together and baked",under the influence of marijuana; stoned.  Perhaps derived from baked,under the influence of marijuana; stoned.  Perhaps derived from baked
en,break camp,Take down a tent or the tents of an encampment ready to leave,Take down a tent or the tents of an encampment ready to leave,to hurry,to hurry
en,break off,Become severed,Become severed,to share with someone,to share with someone
en,break out,"( of war , fighting , or similarly undesirable things ) start suddenly","( of war , fighting , or similarly undesirable things ) start suddenly",To leave or escape,To leave or escape
en,break up,Disintegrate or disperse,Disintegrate or disperse,"to be really troubled with something, to the point of crying","to be really troubled with something, to the point of crying"
en,breeder,A person who breeds animals or plants,A person who breeds animals or plants,inbreeder,inbreeder
en,breeze,A gentle wind,A gentle wind,A female,A female
en,breezy,Pleasantly windy,Pleasantly windy,an attractive female;,an attractive female;
en,brethren,Fellow Christians or members of a male religious order,Fellow Christians or members of a male religious order,friend,friend
en,brew,"Make ( beer ) by soaking , boiling , and fermentation","Make ( beer ) by soaking , boiling , and fermentation",really ugly,really ugly
en,broken,Having been broken,Having been broken,hung-over from alcohol,hung-over from alcohol
en,brutal,Savagely violent,Savagely violent,"extremely horrendous, embarrassing or harsh.  (Not slang, coming to English from Medieval Latin.)","extremely horrendous, embarrassing or harsh.  (Not slang, coming to English from Medieval Latin.)"
en,bubbly,Containing bubbles,Containing bubbles,overly hyper and happy,overly hyper and happy
en,buck,"The male of some horned animals , especially the fallow deer , roe deer , reindeer , and antelopes","The male of some horned animals , especially the fallow deer , roe deer , reindeer , and antelopes",knowingly doing other than what is right,knowingly doing other than what is right
en,buckle,"A flat , typically rectangular frame with a hinged pin , used for joining the ends of a belt or strap","A flat , typically rectangular frame with a hinged pin , used for joining the ends of a belt or strap",to fail or err due to pressure,to fail or err due to pressure
en,buckshot,Coarse lead shot used in shotgun shells,Coarse lead shot used in shotgun shells,someone who is less than clever;,someone who is less than clever;
en,bud,"A compact growth on a plant that develops into a leaf , flower , or shoot","A compact growth on a plant that develops into a leaf , flower , or shoot",friend.  Possibly from buddy,friend.  Possibly from buddy
en,budget,An estimate of income and expenditure for a set period of time,An estimate of income and expenditure for a set period of time,"adj.  Uncool, cheap, second-hand, home-made, ghetto","adj.  Uncool, cheap, second-hand, home-made, ghetto"
en,buff,A yellowish - beige colour,A yellowish - beige colour,muscular,muscular
en,buffoon,A ridiculous but amusing person ; a clown,A ridiculous but amusing person ; a clown,a silly person; moron; idiot,a silly person; moron; idiot
en,bug,A small insect,A small insect,an undesired aspect of something that causes it to exhibit an unwanted response in a particular situation,an undesired aspect of something that causes it to exhibit an unwanted response in a particular situation
en,bug out,Leave quickly,Leave quickly,to leave,to leave
en,built,( of a person ) having a specified physical size or build,( of a person ) having a specified physical size or build,muscular,muscular
en,bull,An uncastrated male bovine animal,An uncastrated male bovine animal,a friend,a friend
en,bullet,"A metal projectile for firing from a rifle , revolver , or other small firearm , typically cylindrical and pointed , and sometimes containing an explosive","A metal projectile for firing from a rifle , revolver , or other small firearm , typically cylindrical and pointed , and sometimes containing an explosive",a type of cocaine paraphernalia,a type of cocaine paraphernalia
en,bump,A light blow or a jolting collision,A light blow or a jolting collision,"like forget that, used to express dislike. (bump you!)","like forget that, used to express dislike. (bump you!)"
en,bun,"A small cake , typically containing dried fruit","A small cake , typically containing dried fruit",ugly,ugly
en,bunghole,An aperture through which a cask can be filled or emptied,An aperture through which a cask can be filled or emptied,"the anus; butt hole.  Popularized by Beavis, of the animated series Beavis and Butthead","the anus; butt hole.  Popularized by Beavis, of the animated series Beavis and Butthead"
en,bunk,"A narrow shelflike bed , typically one of two or more arranged one on top of the other","A narrow shelflike bed , typically one of two or more arranged one on top of the other",boring,boring
en,burger,A flat round cake of minced beef that is fried or grilled and typically served in a bread roll ; a hamburger,A flat round cake of minced beef that is fried or grilled and typically served in a bread roll ; a hamburger,an attractive person,an attractive person
en,burn,( of a fire ) flame or glow while consuming a material such as coal or wood,( of a fire ) flame or glow while consuming a material such as coal or wood,exclamation upon hearing a particularly witty or impressive insult,exclamation upon hearing a particularly witty or impressive insult
en,burned,Having been burned,Having been burned,"having smoked so much marijuana that a person is slow, dumb, or act like they are under the influence when they aren't.  Usually someone who has been smoking on a regular basis for several years.","having smoked so much marijuana that a person is slow, dumb, or act like they are under the influence when they aren't.  Usually someone who has been smoking on a regular basis for several years."
en,bush,A shrub or clump of shrubs with stems of moderate length,A shrub or clump of shrubs with stems of moderate length,"a person as Gross, ugly, disgusting or disgusting","a person as Gross, ugly, disgusting or disgusting"
en,business class,"A class of seating on an aircraft that is superior to economy class but less expensive than first class , intended especially for people travelling on business","A class of seating on an aircraft that is superior to economy class but less expensive than first class , intended especially for people travelling on business",so large (or possessing such large buttocks) that one cannot fit in the seats in the coach section of an airplane.  They must sit in business class (sometimes called first class) where the seats are larger.  Popularized by the movie Swingers,so large (or possessing such large buttocks) that one cannot fit in the seats in the coach section of an airplane.  They must sit in business class (sometimes called first class) where the seats are larger.  Popularized by the movie Swingers
en,butt,( of a person or animal ) hit ( someone or something ) with the head or horns,( of a person or animal ) hit ( someone or something ) with the head or horns,extremely ugly.  A shortened form of,extremely ugly.  A shortened form of
en,buttercup,"A herbaceous plant with bright yellow cup - shaped flowers , which is common in grassland and as a garden weed . All kinds are poisonous and generally avoided by livestock","A herbaceous plant with bright yellow cup - shaped flowers , which is common in grassland and as a garden weed . All kinds are poisonous and generally avoided by livestock",a sensitive female,a sensitive female
en,buttered,Spread with butter,Spread with butter,inebriated,inebriated
en,butty,A middleman negotiating between miners and the mine owner,A middleman negotiating between miners and the mine owner,sandwich,sandwich
en,buzz,"A low , continuous humming or murmuring sound , made by or similar to that made by an insect","A low , continuous humming or murmuring sound , made by or similar to that made by an insect",the light-headed (buzzed) feeling from smoking a cigarette,the light-headed (buzzed) feeling from smoking a cigarette
