term_lang,word,conv_def,slang_def
ZH,半残废,"A metaphorical term for men 170 cm or shorter, implying social disadvantage in romantic selection.",half-crippled/A metaphor for a man of 170 cm or below in height who is not tall enough for the woman he’s romantically interested in and therefore jokingly called “half-crippled” .
ZH,半拉,One half; either of two equal parts into which a whole is divided.,half
ZH,半晌,A considerable length of time; quite a while.,half a day/ A metaphor for quite a long time.
ZH,棒,Excellent; outstanding; strong or impressive in ability or quality.,strong; excellent; great
ZH,傍大款,(of a woman) to form a close relationship with a wealthy man for financial benefit,(for a  woman) to accompany a rich man; have an intimate relationship with a rich man.
ZH,煲电话粥,To talk on the phone for a long time.,boil(cook) porridge of telephone/ A metaphor for talking on the phone for a long time.
ZH,爆炒,"To launch an intensive, large-scale media campaign in a short period for maximum commercial impact.",quick-fry/A metaphor for launching a whirlwind mass media advertising campaign for quick and optimum commercial impact n a short period.
ZH,暴打,To beat someone violently; to inflict a severe physical assault on someone.,beat sb. Severely; give a good thrashing
ZH,暴侃,To boast or exaggerate; to make grandiose or inflated claims.,talk big; boast; shoot the bull
ZH,报冷门,"To produce an unexpected result, especially an unforeseen outcome in a competition or event.",produce unexpected results
ZH,报料,To provide news tips or information to journalists.,to provide news clues or information to journalists
ZH,爆棚,Extremely popular; attracting overwhelming interest or participation.,"Literally it means a tent is too crowded with people and may explode. A metaphor for something that is very popular and loved by people so that too many wish to join it, participate or go for it."
ZH,暴笑,"To laugh loudly and uncontrollably, usually due to great amusement or joy.",laugh
ZH,备不住,perhaps; possibly; it may be,perhaps; maybe
ZH,背过气,To stop breathing; to be unable to breathe; to gasp for air.,stop breathing; be out of breath; gasp for breath
ZH,奔命,"To rush or work with utmost effort, often under pressure or urgency.",drive(push) oneself hard to hurry on with one’s journey or work
ZH,崩,to execute or kill by shooting,shoot to death; execute by shooting
ZH,蹦迪,"To dance to disco music, typically in a nightclub or party setting.",disco dance
ZH,绷儿,Extremely; to a very great degree; exceedingly.,very; so; extremely
ZH,毙,to execute by shooting; to kill by gunfire as a form of execution,shoot to death; execute by shooting
ZH,飙车,To drive a vehicle at dangerously high speeds or in a reckless manner.,drive violently(madly)
ZH,憋镜头,A poorly executed or unsuccessful shot in photography or film.,bad camera shot; a shot gone wrong
ZH,蹩脚,Inferior in quality; poor; lacking skill or proficiency.,inferior; poor; unskilled
ZH,病秧子,A person who is physically weak or frequently ill.,sick vine; person in poor health; someone vulnerable to illness
ZH,泊车,To park a vehicle; to bring a car or other vehicle to a stop and leave it temporarily.,parking
ZH,不颤,Not afraid; not fearful.,to not be afraid; to not be scared
ZH,不搭脉,Completely unrelated or dissimilar; having no connection or commonality.,"two things entirely different, like chalk and cheese"
ZH,不忿儿,To refuse to submit; to resist authority or control.,refuse to obey; to not give in to
ZH,不感冒,To have no interest in or pay little attention to something.,have no interest; to not be interested in sth; pay little attention to
ZH,不吝,Not to mind; not to care about.,not care; not mind
ZH,不起眼儿,Not noticeable; insignificant; ordinary.,not eye-catching; trivial; unremarkable
ZH,不是玩儿,Not a joke; serious; not to be taken lightly.,be no joke; be serious; no kidding; not a trifling matter
ZH,踩,"To slander, malign, vilify, or insult someone.",slander; calumniate; libel; insult
ZH,踩点儿,To conduct a thorough on-site inspection of a location in preparation for a planned visit or activity.,step on the spot; make a thorough and careful investigation of a place a person intends to go to
ZH,踩乎,"To bully, oppress, belittle, trample on, or disparage someone.","bully; oppress; depreciate, tread upon; disparage"
ZH,菜,"Incompetent, unsophisticated, or lacking ability, often used to describe someone as ignorant or unskilled.",sb. Or sth. That is good for nothing; hopelessly stupid; humiliating; rustic; countrified; ignorant
ZH,菜了,To fail; to be unsuccessful; to fall short of achieving something.,fail; be unsuccessful; fall through
ZH,菜色,"A pale or sallow facial complexion, often indicating hunger or poor health.",dark green or sallow yellow/ A term to indicate someone who has a colorless complexion or looks famished.
ZH,残废,A derogatory term for a man whose height is less than 160 centimeters.,crippled man/ A metaphor for men shorter than 160 cm.
ZH,糙,"Rough, coarse, or lacking in refinement, manners, or elegance; rude or unpolished.",rude; rough; boorish; uncouth; impolite
ZH,操蛋,"(vulgar) extremely bad, disappointing, or frustrating; deserving of strong disapproval or condemnation",(swearword) damn; bad; no good; disappointing
ZH,蹭车,To ride a bus or train without paying the fare; to travel as a free rider.,get a lift; take a bus or train without pay
ZH,碴,to engage in a physical fight or scuffle (with someone),fight; come to blows; scuffle(with)
ZH,茶钱,A gratuity or small sum of money given for service; a tip.,tip
ZH,缠,"to handle, deal with, or cope with (a situation or problem)",deal with; cope with; handle
ZH,猖,"Wild, furious, and uncontrollable in behavior or actions.",savage; furious; unbridled
ZH,长舌妇,A woman who gossips or spreads rumors; a meddlesome or talkative woman.,gossip monger; garrulous woman
ZH,抄肥,To intercept goods for profit or to gain actual profit through ambush or interception in business.,realp profit in business; block goods and take them away; waylay; profit reaping
ZH,潮,Fashionable; in accordance with the latest trends or styles.,fashion; fashionable
ZH,炒汇,Speculating in foreign exchange by buying and reselling currencies for profit.,arbitrage; buy and resell foreign currency at a profit
ZH,炒买妙卖,"Speculative buying and selling for profit, especially in stocks, foreign exchange, real estate, or oversupplied goods.","to speculate; resell at a profit (used mostly for stocks, foreign currency, real estate or other goods in exceeding supply demand)"
ZH,炒鱿鱼,to dismiss or terminate someone from employment,sack; dismiss ; fire
ZH,车本,driver's license; an official document permitting a person to operate a motor vehicle,driver’s license
ZH,车倒儿,A person who buys and resells vehicles; a used car dealer.,a person who resells vehicles; second-hand dealer
ZH,扯淡,To speak nonsense; to make absurd or unfounded statements.,(swearword) talk nonsense; bullshit
ZH,扯平,To settle accounts so that neither party owes the other; to make equal or balanced.,be(get) even with sb. ; make even
ZH,撑,"To support, sustain, persist, or uphold.",prop up; maintain; hold out; support
ZH,秤砣,Counterweight that slides on a steelyard balance to measure weight.,the sliding weight of a steelyard
ZH,痴,Foolish; lacking intelligence or good judgment; slow-witted.,foolish; stupid; idiotic
ZH,吃不了兜着走,To suffer the consequences of one’s actions; to get into serious trouble as a result.,get more than one bargained for; land oneself in serious trouble
ZH,吃错药了,"To behave in an unusually strange, rude, or inappropriate manner.",take the wrong medicine/ A term that infers a person’s behavior is a bit strange or rude and impolite.
ZH,吃刀,to suffer a loss; to be at a disadvantage; to be deceived or taken advantage of,suffer losses; get the worst of it; be cheated or fooled
ZH,吃偏饭,"To receive or give special treatment, assistance, or provisions to a particular person.",have particular meal for someone or receive(give sb.)a particular treatment or help
ZH,吃请,to be invited to attend a banquet or formal dinner,to be invited to a dinner
ZH,吃软饭,(of a man) To be financially supported by a woman instead of earning a living independently.,(of men)live off women rather than working for a living;(of men) be supported by women
ZH,吃香,To be highly popular or favored; to be well-liked or in great demand.,be very popular; find favor with sb; be well-liked
ZH,吃小灶,To receive special treatment or individualized instruction or training.,have a special meal for sb. Or receive (give sb.) a special treatment or service/ Often it refers to giving someone individual tuition or training.
ZH,充大个儿,To act beyond one’s abilities in order to impress others or appear more capable.,show off; be foolhardy; to force oneself to do; be braggart/ A term refers to one who insists on doing sth. Which is beyond his ability or one who tries to impress others.
ZH,冲洋画片,To retrieve a card from a vending machine.,pull the card out of an automatic selling machine
ZH,抽立,to lose money (in gambling); to be defeated or beaten,lose money(in gambling); be beaten; be defeated
ZH,臭,"Stupid, poor in quality, disappointing, or inferior.",stupid; bad; disappointing; inferior
ZH,臭大粪,"Vulgar term for something considered low-class, bad, or foolish.",low-grade; no good; stupid
ZH,臭美,To be excessively pleased with one’s appearance or to take pride in one’s looks.,make up; dress up; beautify
ZH,臭美妞,A girl who is highly critical of her own appearance.,a girl who is fussy about her appearance
ZH,臭子儿,A misfire; a malfunction of ammunition; a bullet that fails to discharge.,dumb fire; faulty cartridge;(of bullet)lose efficacy
ZH,出菜,"To produce a product, manufacture something, or achieve a result.",produce a product; make sth.; achieve sth.
ZH,出格,To behave or speak in a way that is unconventional or markedly different from others.,(speech and action) be out of the ordinary; differ form others
ZH,出更,(of police) to go on patrol; to conduct a patrol or inspection,(policeman) go on a tour of inspection; patrol; make one’s rounds
ZH,出局,To be eliminated or defeated in a competition or match.,be knocked out or eliminated in a competition
ZH,出摊儿,(of street vendors) to set up a stall and conduct business,(of vendors)do business; open for business
ZH,雏（儿）,A beginner; a novice; a person who is inexperienced in a particular activity or field.,greenhorn; tyro; new hand; raw recruit
ZH,触电,To make one’s debut on television or in a film as an actor or host.,"to have one’s first experience on TV or in a movie; to play a role in a TV drama or a film, or to be a host/hostess on TV"
ZH,穿帮,To inadvertently reveal a secret or expose oneself to public knowledge.,to let the cat out of the bag; to give oneself away; to let the whole world know
ZH,穿水晶鞋,"To deliberately create difficulties or obstruct someone’s work, especially by a superior toward a subordinate.","make sb. Wear crystal(or small) shoes/A metaphor for one who makes things difficult for others, or stops others from doing things(generally used to refer to working relationship specially boss and subordinate)."
ZH,窗户纸,"Thin paper used for covering windows; metaphorically, a barrier, disguise, or concealment.","thin paper used on windows/A metaphor for screen, cover-up or camouflage."
ZH,吹灯拔蜡,To fail completely; to come to an unsuccessful end.,(literally) blow out the candle and remove it;(figuratively)go fail; fall through
ZH,戳,to set something upright; to make something stand vertically,erect;stand sth. on end
ZH,呲儿,to scold or reprimand severely,scold; give a tongue-lashing
ZH,次毛,(of a product) of poor quality; inferior; substandard,(of product)poor in quality; inferior; bad
ZH,醋坛子,"A person who is easily jealous, especially in romantic relationships.",vinegar jar/A metaphor for a jealous person.
ZH,蹿,(of prices) to rise rapidly; to surge; to increase sharply and suddenly,(of price)rise quickly; hike up; go up suddenly
ZH,村姑,A young woman from a rural area; a country girl.,a country girl form the country
ZH,撮,to eat; to have a meal,eat; have a meal
ZH,撮堆儿,Inferior goods; remainder or persons or things not selected in the first round.,goods of lower quality; left over/A metaphor for people or things not chosen in the first lot.
ZH,搓麻,to play mahjong,play mahjong
ZH,矬子,A person of short stature; a short or small-statured individual.,a short person
ZH,搭档,A partner who works together with another in cooperation or collaboration.,cooperate; collaborate
ZH,打八刀,To divorce; to legally dissolve a marriage.,divorce
ZH,打车,To take a taxi; to travel by taxi.,hail cab; take a taxi; by taxi
ZH,打工妹,"A young female worker, especially one employed in low-wage or service jobs.",female employee; female worker
ZH,打哈哈,To joke or make fun of someone; to tease in a playful manner.,poke fun at; joke about
ZH,打水漂儿,To be wasted or yield no result; to spend effort or resources without any return.,"play(make)ducks and drakes (with sth.); spend in vain; with no result; pay out, but get nothing in return"
ZH,打一枪换一个地方,"To frequently change locations, jobs, or activities without staying long in one place or position.","go job-hopping; move regularly(from one place to another); change frequently(job, things)"
ZH,打住,to stop; to pause; to bring to a halt,stop; hold on; bring to a halt
ZH,大瓣儿蒜,A person who behaves affectedly or pretentiously.,big clove of garlic/ A metaphor for someone who behaves in an affected way or puts on an act.
ZH,大比拼,A competitive contest between two teams or individual participants.,dual meet; a meeting between two competing teams or two competitors
ZH,大出血,To sell goods at extremely low prices; to hold a major sale or promotion.,sell goods at a very low price; have a grand sale
ZH,大吊车,An unmarried man around thirty years old; a bachelor in his thirties.,big crane/A metaphor for a single man of around thirty; unmarried man; bachelor.
ZH,大发,Excessive; describing someone who acts overly or beyond reasonable limits.,excessive; over the top/Refers to one who overdoes sth. or exceeds a limit.
ZH,大哥大,cellular phone; mobile phone,Cellular phone
ZH,大红大紫,Extremely famous; highly renowned or well-known (of a person).,(of a person)very famous; well-known; celebrated
ZH,大件,"Major household appliances that were expensive consumer goods in China during the 1980s (e.g., televisions, refrigerators).","expensive consumer goods (television, refrigerator, washing machine, tape recorder)in the 80s of the 20 th century."
ZH,大块头,A person who is tall and physically robust; a large and strong individual.,a hefty person; a tall person; a tall and strong person
ZH,大礼拜,A weekend when both Saturday and Sunday are days off from work.,"“big weekend”(Saturday and Sunday) In 1994, the Chinese government passed the official 44-hour work week. This means that Chinese who work in companies that follow this guideline have alternating weekend-“big”and “small” weekends. “Big weekend”means people get Saturday and Sunday off. “Small weekend” means they must work on Saturday (a full day)."
ZH,大路货,An ordinary or low-priced product; a cheap or common item.,goods at ordinary or low price; cheap goods
ZH,大面儿,outward appearance; external aspect; surface,outlook; appearance; surface
ZH,大拿,"A person in authority; a leader, manager, or boss.",person with power; head; boss
ZH,大排档,"An inexpensive food stall, usually outdoors, selling a variety of dishes.","stalls selling food normally in the street but can also be indoors, normally very cheap"
ZH,大喘气,"To deliberately take a deep breath before finishing a sentence or phrase, often to tease or mock.",take a deep breath before finishing a sentence or phrase (on purpose); make fun of or tease
ZH,大腕儿,A prominent or influential person; a celebrity or expert in a particular field.,famous person; big shot; expert; celebrity
ZH,大仙,A professional fortune-teller or a male or female witch.,"a professional fortune teller, or sorcerer/sorceress"
ZH,带把儿的,a boy; a male child,boy
ZH,单车,bicycle; a vehicle with two wheels that is powered by pedaling,bicycle; bike
ZH,单元儿,one-yuan banknote,one-yuan note
ZH,蛋白质,"A foolish, unintelligent, or neurotic person; a derogatory term for someone perceived as such.","a fool, idiot or neurotic/a derogatory term which mostly refers to people"
ZH,弹子,"A cue sport played on a rectangular table with balls and a cue stick, including billiards, pool, and snooker.",billiards
ZH,挡横儿,to hinder; to obstruct; to impede,get in the way; block ; hinder
ZH,捯,To pull back or wind thread or rope; to coil or wrap thread.,pull back thread or rope; wind thread
ZH,捯饬,To dress up or groom oneself; to apply makeup or adorn oneself.,dress up; make up; doll up
ZH,倒汇,Speculating in foreign exchange by buying and selling currencies to profit from price differences.,speculate in foreign currency; resell foreign currency at a profit
ZH,倒儿爷,A profiteer or speculator who exploits market opportunities for personal gain.,speculator; profiteer
ZH,倒儿,A speculator or profiteer who buys goods cheaply in one place and resells them elsewhere at higher prices.,speculator; profiteer/ Refers to individual retailers who buy things at a low price in one place and sell them for a profit elsewhere.
ZH,倒插门,A marriage in which the husband moves into and resides with his wife's family.,bolt the door in a back to front way/ A metaphor for a man who goes to live in his wife’s parents’ home after marriage.
ZH,登,To put on (shoes or trousers).,wear(shoes or trousers)
ZH,incapable people/A term often used to describe someone who gets high marks in school,A person academically successful but lacking practical abilities in everyday life.,"but is incapable in life."""
ZH,的哥,A taxi driver; a familiar or affectionate term for a taxi driver.,taxi driver; cabman/An affectionate from of address to taxi driver.
ZH,的票,taxi receipt,taxi receipt
ZH,的爷,male taxi driver,male taxi driver
ZH,地撮儿,A sanitation worker responsible for cleaning streets and public areas.,street cleaner; scavenger; sanitation worker; rubbish scooper
ZH,掂量,To weigh something by hand.,weigh by hand
ZH,颠,to leave quickly; to depart or run away,go away; leave ; run
ZH,点水,to report or inform on someone to the authorities,inform against
ZH,点子,A criminal who provides information to law enforcement authorities.,"squealer/A term refers to one who is a criminal himself, but has responsibilities to supply information for the public security organs."
ZH,垫背的,A person who is made to take the blame for the faults of others; a scapegoat.,scapegoat; fall guy
ZH,垫底儿,The lowest-ranking or poorest; the one at the bottom in terms of status or performance.,be the poorest(lowest; bottommost);be the worst one
ZH,电老虎,A corrupt official in the electric power sector who engages in bribery or embezzlement.,power(electricity)tiger/A metaphor for embezzlers from power (electricity)supply units.
ZH,店嫂,A married female sales clerk.,married saleswoman
ZH,掉链子,"To malfunction, encounter a problem, make a mistake, or experience a failure.",break down; have problems; go wrong; make mistakes
ZH,掉钱眼儿里,Extremely skilled at managing money or highly adept at financial matters.,fall into the hole of a coin/A metaphor for someone who is very good with money.
ZH,跌份,To embarrass oneself or put oneself in an awkward or humiliating position.,embarrass yourself; cause yourself embarrassment
ZH,顶得住,To withstand; to endure; to be able to bear or tolerate.,bear; endure; stand up to
ZH,懂眼,Knowledgeable and experienced in a particular field; an expert familiar with the inner workings.,know the business; know the ropes; be an expert; know the ins and outs of
ZH,抖骚,To flaunt one's charm or attractiveness in an ostentatious manner.,play the coquette;
ZH,豆腐块,A short article or brief essay published in a journal or newspaper.,beancurd cube/A tiny article published in a periodical or newspaper.
ZH,逗咳嗽,"To quarrel or provoke disputes with someone, often due to personal grievances.",be at each other’s throats; quarrel with someone on account of a personal grudge; pick a fight; find fault
ZH,独食,To keep something exclusively for oneself without sharing with others.,selfish; domineering/A term used to describe someone who gets something and does not share it with others.
ZH,断档,To lose contact or break off communication midway.,(of people)break off in the middle; miss a link
ZH,断码,Not all sizes of a product are available; certain sizes are out of stock.,no all sizes of goods are available; a shortage of some sizes
ZH,对表,A matching pair of wristwatches worn by romantic partners to signify their relationship.,a pair of watches for a couple
ZH,对衫,Matching shirts designed for couples to wear together.,a set of shirts designed for a couple wear; matching shirts
ZH,蹲点,to defecate; to discharge solid waste from the bowels,defecate; have a bowel movement; shit
ZH,蹲坑,"To conduct surveillance or stakeout, especially by police or detectives, to monitor suspects or locations.","stake out; station (police, detectives, etc.)for surveillance of a suspected criminal, a place, etc."
ZH,耳朵根子软,Easily influenced by others' opinions or words.,soft ear/A person who is easily swayed by other’s words.
ZH,二等公民,"A citizen who is an immigrant or not born in the country, often regarded as having lower status.",second-class citizen/ A term that refers to migrants or citizens not born in the country.
ZH,二乎,to retreat or withdraw due to fear,withdraw; retreat(because one is scared)
ZH,二进宫,to be detained or imprisoned again; to be re-incarcerated,take into custody for the second time; put in prison for the second time
ZH,二十一遥,21-inch remote-controlled color television,21-inch remote control color television
ZH,发福,To gain weight or become plump (used as a polite or euphemistic expression).,put on weight ; get fat; plump (a euphemism)
ZH,发毛,to feel afraid or frightened; to experience fear or anxiety,be afraid of; be terrified; be scared
ZH,发蒙,"To feel confused, bewildered, or at a loss; to be in a state of mental confusion.",be confused; be at a loss; get into a muddle
ZH,发烧音响,State-of-the-art audio equipment featuring the latest and most advanced sound technology.,"the latest, most hi-tech sound system"
ZH,反炒,To attract public attention by using negative commentary or by promoting something in a contrary manner.,quickly-fry something in a backward way/Drawing public attention with negative spiel in the mass media.
ZH,犯不着,Not necessary; not worth the effort or trouble.,unnecessary; not worthwhile
ZH,犯各,To behave differently or act in a strange or unconventional manner.,act differently; do things in a strange or unusual manner
ZH,饭局,"A formal or social dinner gathering, often for business or networking purposes.",dinner party; fete
ZH,范儿,"Distinctive style, design, pattern, or manner of presentation.",style; design; pattern; form
ZH,方,A unit of currency equal to ten thousand yuan (RMB) in Chinese financial slang.,ten thousand yuan
ZH,放电,To display or express sexual attraction or flirtation between a man and a woman.,(electric) discharge/A metaphor for expressing passion between the sexes.
ZH,放鸽子,To fail to keep an appointment or to not show up as promised.,to break an appointment; to stand someone up
ZH,放空,"A vehicle, usually a taxi, that is not carrying any passengers.","an automobile with no passengers in it, usually it refers to a taxi"
ZH,放一码,to pardon or forgive someone (usually a criminal); to grant clemency; to release,let a person (usually a criminal) off; have mercy on; forgive ; release
ZH,匪,"Rude, unruly, or behaving in a thuggish or villainous manner.",rough; loutish; hooliganish; thuggish
ZH,粉丝,"A devoted admirer or supporter of a particular entertainer, athlete, or form of popular culture.","fans (of movie, pop music, ball games, etc.)"
ZH,风光,"To be prestigious, hold high status, or enjoy a luxurious lifestyle.",have fame; have status; enjoy a luxury life
ZH,福分,Good fortune; the privilege or blessing of happiness.,good fortune; happy hot
ZH,富姐,A wealthy woman.,a rich woman
ZH,富态,"A polite term describing someone as plump, stout, or having a full and well-nourished appearance.",plump ; stout; fat/A polite way to address someone who is overweight.
ZH,玍,"Irritable, eccentric, unusual, or peculiar in temperament or behavior.",bad tempered; odd; eccentric; peculiar
ZH,该着,Deserved; appropriate or inevitable according to circumstances or reason.,ought to; certainly; naturally
ZH,丐帮,A group of people who make a living by begging.,group of beggars/ A term that refers to a group of people who live off begging.
ZH,盖帽子,An elite person or thing; someone or something outstanding or exceptional.,cream of the crop; superexcellent; the best of all/A term originally used in basketball referring putting the ball through the hoop.
ZH,干货,"Valuable or essential information, content, or material.",dried goods/A metaphor for high value or expensive things
ZH,肝儿颤,To tremble with fear; to be extremely frightened or terrified.,have a shaken liver; be scared; tremble with fear; be terrified
ZH,赶趟儿,to have time to do something; to be able to make it in time,have time for; be in time for
ZH,港,fashionable; stylish,fashionable; stylish
ZH,港客,Hong Kong or Macau residents visiting mainland China.,compatriots in Hong Kong and Macao who come to the mainland
ZH,港仔,A young man from Hong Kong.,Hong Kong lad
ZH,杠头,A person who is stubborn or rigid in their thinking.,stubborn person; person which a one-track mind
ZH,高宰,To charge an excessively high price in order to defraud someone of money.,charge an exorbitant price (so as to swindle)
ZH,搞定,"To settle, resolve, or finalize a matter; to ensure something is properly dealt with or completed.",settle; fix; decide; ascertain; make sure
ZH,搞笑,Intended to amuse or provoke laughter through words or actions.,(words or actions) meant to amuse or to cause laughter
ZH,各,Unusual or eccentric; distinctive in character or personality.,out of the ordinary; peculiar; different from others; odd/A term mostly used to describe one’s character or disposition.
ZH,各色,Unusual or eccentric in behavior or appearance.,"odd, eccentric"
ZH,给他一大哄,"To boo, jeer at, or loudly ridicule someone as a group.",boo someone; gather together to jeer at someone; hoot at someone
ZH,跟风,To follow a trend or imitate others without independent judgment.,to follow the trends; do as others do
ZH,根儿硬,Has strong backing or influential connections; is well-supported by powerful people.,be backed up; have strong support; have connections
ZH,艮,Blunt and straightforward in speech or manner; frank and sometimes stubborn.,straightforward; stubborn; blunt; forthright
ZH,公了,To resolve or handle a matter according to public regulations or through official legal procedures.,solve or settle sth. in a proper manner or according to public regulations/Usually refers to resolution of a problem or dispute by going to court or according to official principles.
ZH,公鸭嗓子,"A hoarse, raspy, and monotone voice resembling the quack of a drake.",drake’s voice; raucous voice/A voice which is husky and flat.
ZH,够档次,Meets a certain (high) standard; reaches the required or expected level.,reach a certain(high)level; be up to standard; be up to par
ZH,鼓捣,"To tinker with or fiddle with something, often by handling or adjusting it repeatedly.",tinker with; fiddle with
ZH,骨头轻,Describes a woman who lacks self-restraint and behaves in a frivolous or improper manner.,light bones/A term describing women who are not self-possessed and behave frivolously.
ZH,挂号,to establish a criminal record,establish a criminal record
ZH,怪才,A person of exceptional artistic talent; a highly gifted or talented individual.,one with outstanding artistic talent; a talented person
ZH,官盖,The best; exceptionally outstanding.,the best of all; extremely good
ZH,光溜,"Smooth and slippery; having a shiny, slick surface.",smooth; slippery
ZH,鬼,Clever; quick-witted.,smart; clever
ZH,鬼佬,"A derogatory term for a foreigner, especially a Western man.",foreigner(impolite term)
ZH,鬼子烟,"imported cigarettes, especially those from the United States and the United Kingdom",imported cigarette(mainly from the United States and Britain)
ZH,国际倒儿爷,An international speculator who profits from trading goods across national borders.,transnational goods speculator; international goods profiteer
ZH,过,To overdo; to go too far in one’s actions or behavior.,overdo sth. ; go too far
ZH,哈韩族,Young people who are enthusiastic about Korean pop music or television dramas.,young people who love Korean pop songs or TV dramas
ZH,孩子王,Leader of a group of children; the child who leads or organizes other children.,head of children
ZH,海,A very large amount; extremely great in quantity or size.,plenty; extremely large
ZH,号贩子,"A person who illegally resells registration tickets, especially for hospital appointments.",someone who scalps registration tickets
ZH,盒饭,A meal consisting of rice and side dishes served in a box-shaped container.,boxed meal /A meal of rice and aside dish in a box
ZH,犄角旯旮儿,"A secluded or hidden corner; a quiet, remote, or out-of-the-way place.",corner; nook; quiet and secluded place; out-of-the way place
ZH,急茬儿,urgent matter; pressing issue requiring immediate attention,urgent matter
ZH,急赤白脸,"Extremely anxious or impatient, to the point of appearing pale from worry or urgency.",burning with impatience; looking pale with worry; extremely pressing
ZH,加盟,"To join or become a member of an organization, group, or alliance.",take part in ; join; participate
ZH,家庭号,A family-sized container of ice cream.,family-size box of ice-cream
ZH,架秧子,To cause a disturbance or provoke trouble as a group.,(of a crowd of people)create a disturbance; make trouble
ZH,拣软的捏,To bully or take advantage of those who are weak or vulnerable.,choose the weak to bully; take advantage of the coward
ZH,矫情,Making unreasonable arguments or deliberately finding fault; engaging in specious reasoning.,use lame arguments; resort to sophistry; willfully make trouble
ZH,窖,savings; deposits; money or resources set aside for future use,deposit(in the bank); save; store
ZH,叫板,To challenge or provoke someone in a confrontational or defiant manner.,challenge; ask for trouble; pick a quarrel
ZH,叫倒好,"a brief, loud sound produced by an owl, person, or vehicle",hoot
ZH,叫（较）针儿,to argue or quarrel; to engage in a dispute or heated discussion,argue; wrangle
ZH,叫座,"Highly popular and commercially successful (of a play, film, or performance); attracts large audiences.","(of a play, movie, show) very popular; a box-office success; draw a large audience"
ZH,姐们儿,A close female friend; a term women use to address intimate female companions.,sisters; sister; pals; close female friends/A term used among women to address close friends.
ZH,警花,A female police officer.,policewoman
ZH,卷地,to pack up or clear away a market stall,pack up the stall
ZH,绝代佳人,A woman famed for her beauty; now also refers to women who bear only daughters.,"Originally it means a woman of matchless beauty. Now by playing with the words people jocularly use it to refer to a young woman of beauty who does not produce a male heir, only a girl, for her husband.(According to an old custom only a male heir can continue a family line.)"
ZH,倔驴,A stubborn and outspoken person; someone who is obstinate and direct.,bullheaded mule/A metaphor for someone who is stubborn and straightforward.
ZH,军嫂,The wife of a soldier.,soldier’s wife
ZH,咔哧,To scrape off with a knife.,scrape off with a knife
ZH,擖油,To exploit others for personal gain or to abuse one’s position for advantage.,take advantage of someone; profit at someone else’s expense; abuse a privilege
ZH,开练,to begin work; to start working,start working
ZH,开溜,To leave secretly or slip away in order to avoid notice or escape.,escape; run away; sneak away; slink off
ZH,开涮,To mock or make fun of; to ridicule or tease someone.,make fun of; make a fool of
ZH,开洋荤,To experience foreign lifestyles or to enjoy foreign cuisine.,enjoy a foreign lifestyle; enjoy foreign food
ZH,看堆儿,To closely monitor or supervise something.,keep an eye on sth. ; watch over sth.
ZH,侃大山,To engage in casual conversation or informal chat.,chat
ZH,侃价,"To bargain or negotiate the price, especially with street vendors.",bargain; haggle with a peddler
ZH,侃星,A person who talks a lot or is very talkative.,chatterbox
ZH,侃爷,A person who frequently boasts or exaggerates; a habitual braggart.,big talker; someone who is good at boasting; someone full of hot air(American slang)
ZH,看西洋镜,To pry into someone’s private life or secrets.,get a glimpse into one’s personal life or secrets
ZH,看涨,Expected to rise in price (of market prices).,(of market prices)expected to rise
