lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en,vanilla_cos_sim,vanilla_cos_dist,vanilla_euclidean,vanilla_manhattan,trained_cos_sim,trained_cos_dist,trained_euclidean,trained_manhattan
en,anal,Relating to or situated near the anus,Relating to or situated near the anus,shortened form of anal retentive,shortened form of anal retentive,0.48904955,0.51095045,1.0108911,21.567074,0.5451331,0.4548669,0.95379955,21.134113
en,animal,"A living organism that feeds on organic matter , typically having specialized sense organs and nervous system and able to respond rapidly to stimuli","A living organism that feeds on organic matter , typically having specialized sense organs and nervous system and able to respond rapidly to stimuli",a person who is extremely dedicated to something,a person who is extremely dedicated to something,0.07047265,0.92952734,1.3634716,29.154676,0.017853139,0.98214686,1.4015326,31.36356
en,ankle,The joint connecting the foot with the leg,The joint connecting the foot with the leg,a person who deserves a label even worse than cunt.  From an anatomical description of a human: An ankle is two feet beneath a cunt,a person who deserves a label even worse than cunt.  From an anatomical description of a human: An ankle is two feet beneath a cunt,0.46894404,0.5310559,1.0305882,22.458435,0.61879534,0.38120466,0.87316054,18.998928
en,anus,The opening at the end of the alimentary canal through which solid waste matter leaves the body,The opening at the end of the alimentary canal through which solid waste matter leaves the body,general derogatory term,general derogatory term,0.10816008,0.8918399,1.3355448,28.90287,0.5000839,0.49991608,0.9999161,22.63128
en,app,"An application , especially as downloaded by a user to a mobile device","An application , especially as downloaded by a user to a mobile device",application,application,0.700161,0.29983902,0.77438885,16.37762,0.7357087,0.2642913,0.72703695,16.020397
en,apple,"The round fruit of a tree of the rose family , which typically has thin green or red skin and crisp flesh","The round fruit of a tree of the rose family , which typically has thin green or red skin and crisp flesh","a Native American who acts like a European, being red on the outside and white on the inside, just like an apple","a Native American who acts like a European, being red on the outside and white on the inside, just like an apple",0.40988106,0.59011894,1.0863876,23.067507,0.54871976,0.45128024,0.9500318,21.115505
en,armpit,A hollow under the arm at the shoulder,A hollow under the arm at the shoulder,a displeasing area within some larger area,a displeasing area within some larger area,0.42933035,0.57066965,1.0683348,22.979628,0.62270933,0.37729067,0.8686664,19.109638
en,artist,A person who creates paintings or drawings as a profession or hobby,A person who creates paintings or drawings as a profession or hobby,used with another noun to indicate someone is skilled at something,used with another noun to indicate someone is skilled at something,0.48252118,0.5174788,1.0173287,21.806906,0.5445304,0.4554696,0.95443135,20.927402
en,ass,"An animal of the horse family , which is typically smaller than a horse and has longer ears and a braying call","An animal of the horse family , which is typically smaller than a horse and has longer ears and a braying call",anything displeasing,anything displeasing,0.092536986,0.907463,1.3471919,29.383987,0.07663653,0.92336345,1.3589433,30.611107
en,associate,A partner or companion in business or at work,A partner or companion in business or at work,an employee,an employee,0.62813413,0.37186587,0.8623988,18.133041,0.6493273,0.35067272,0.8374636,18.337303
en,atmosphere,The envelope of gases surrounding the earth or another planet,The envelope of gases surrounding the earth or another planet,the general feeling of a place,the general feeling of a place,0.2943694,0.7056306,1.1879652,25.389112,0.13544796,0.864552,1.314954,29.125828
en,aught,Anything at all,Anything at all,"zero.  An antiquated term, but not slang.  In the long past, used for years between and including 1901 and 1909.  Now, used for years between and including 2001 and 2009 to humorously suggest that they were a long time ago","zero.  An antiquated term, but not slang.  In the long past, used for years between and including 1901 and 1909.  Now, used for years between and including 2001 and 2009 to humorously suggest that they were a long time ago",0.21479648,0.7852035,1.2531589,26.801884,0.40287608,0.5971239,1.0928165,24.328506
en,avatar,A manifestation of a deity or released soul in bodily form on earth ; an incarnate divine teacher,A manifestation of a deity or released soul in bodily form on earth ; an incarnate divine teacher,"an icon, pictorial, or 3D representation of a person online.  In the online gaming community, for example, one's character as seen by other players is one's avatar.","an icon, pictorial, or 3D representation of a person online.  In the online gaming community, for example, one's character as seen by other players is one's avatar.",0.28717417,0.71282583,1.1940066,25.65358,0.33879262,0.6612074,1.1499629,25.519566
en,aw,"Used to express mild protest , entreaty , or sympathy","Used to express mild protest , entreaty , or sympathy",oh,oh,0.3183201,0.6816799,1.1676301,24.778393,0.5005593,0.49944073,0.9994406,22.160862
en,awesome,Extremely impressive or daunting ; inspiring awe,Extremely impressive or daunting ; inspiring awe,a metaphorical substance that adds excellence,a metaphorical substance that adds excellence,0.5501144,0.4498856,0.9485627,20.350964,0.26875326,0.7312467,1.2093359,26.30716
en,axe,"A tool used for chopping wood , typically of iron with a steel edge and wooden handle","A tool used for chopping wood , typically of iron with a steel edge and wooden handle",ask,ask,0.021016352,0.97898364,1.3992739,29.650139,0.19872129,0.8012787,1.2659216,28.381397
en,b,Born ( used to indicate a date of birth,Born ( used to indicate a date of birth,woman.  Likely short for,woman.  Likely short for,0.35805213,0.64194787,1.1330913,24.683529,0.43369424,0.56630576,1.0642422,24.076796
en,babe,A baby,A baby,affectionate term for one's significant other,affectionate term for one's significant other,0.12434759,0.87565243,1.3233688,28.976511,0.39435893,0.60564107,1.1005827,24.261814
en,baby,A very young child,A very young child,small,small,0.3821792,0.6178208,1.1115942,23.966196,0.5320492,0.46795082,0.9674201,21.53592
en,back,The rear surface of the human body from the shoulders to the hips,The rear surface of the human body from the shoulders to the hips,an alcohol chaser,an alcohol chaser,0.15920916,0.84079087,1.2967582,27.448032,0.31235322,0.68764675,1.1727291,26.093102
en,backbone,The series of vertebrae extending from the skull to the pelvis ; the spine,The series of vertebrae extending from the skull to the pelvis ; the spine,"metaphor: having a backbone endows one with courage, will","metaphor: having a backbone endows one with courage, will",0.21741252,0.78258747,1.2510695,26.19621,0.20621498,0.79378504,1.2599881,27.84345
en,back door,The rear door of a building,The rear door of a building,the anus,the anus,0.17364402,0.826356,1.2855784,28.029291,0.44251403,0.55748594,1.0559225,23.286076
en,back off,Draw back from action or confrontation,Draw back from action or confrontation,to move away from,to move away from,0.47929564,0.5207044,1.0204943,21.885906,0.7016573,0.2983427,0.7724543,17.124249
en,backwards,( of a movement ) in the direction of one's back,( of a movement ) in the direction of one's back,outdated,outdated,0.18141778,0.81858224,1.2795173,27.190634,0.48997575,0.51002425,1.0099746,22.703918
en,bacon,Cured meat from the back or sides of a pig,Cured meat from the back or sides of a pig,the police,the police,0.026429916,0.9735701,1.3953997,30.265892,0.30305827,0.69694173,1.1806284,25.968678
en,bad,Of poor quality or a low standard,Of poor quality or a low standard,"very good, excellent","very good, excellent",0.3878578,0.6121422,1.1064739,23.258331,0.5747322,0.42526782,0.9222449,20.208973
en,bag,"A flexible container with an opening at the top , used for carrying things","A flexible container with an opening at the top , used for carrying things","one's taste.  That is, an activity that one finds appealing","one's taste.  That is, an activity that one finds appealing",0.22367126,0.77632874,1.2460568,26.266949,0.35413957,0.64586043,1.136539,25.396122
en,baggage,Suitcases and bags containing personal belongings packed for travelling ; luggage,Suitcases and bags containing personal belongings packed for travelling ; luggage,emotional burdens from one's past,emotional burdens from one's past,0.17483065,0.8251693,1.2846552,27.658016,0.008575134,0.99142486,1.4081371,31.274746
en,bah,An expression of contempt or disagreement,An expression of contempt or disagreement,"used to convey surprise, disgust, or doubt","used to convey surprise, disgust, or doubt",0.72326094,0.27673906,0.7439613,15.843144,0.73025656,0.26974344,0.7344977,16.310955
en,bail,"The temporary release of an accused person awaiting trial , sometimes on condition that a sum of money is lodged to guarantee their appearance in court","The temporary release of an accused person awaiting trial , sometimes on condition that a sum of money is lodged to guarantee their appearance in court",to leave,to leave,0.25978765,0.7402123,1.216727,26.715187,0.5279015,0.47209853,0.971698,21.701
en,bail out,Make an emergency parachute descent from an aircraft,Make an emergency parachute descent from an aircraft,to leave,to leave,0.23190689,0.7680931,1.2394297,27.078636,0.5590582,0.4409418,0.9390867,20.615803
en,bairn,A child,A child,a baby.,a baby.,0.72219956,0.27780044,0.74538636,16.149303,0.74034315,0.25965685,0.72063434,15.800259
en,bait,"Food placed on a hook or in a net , trap , or fishing area to entice fish or other animals as prey","Food placed on a hook or in a net , trap , or fishing area to entice fish or other animals as prey",obvious,obvious,0.12024289,0.8797571,1.3264668,28.825768,0.1544858,0.8455142,1.3003954,28.734509
en,bake,"Cook ( food ) by dry heat without direct exposure to a flame , typically in an oven","Cook ( food ) by dry heat without direct exposure to a flame , typically in an oven",to smoke marijuana,to smoke marijuana,0.24684003,0.75316,1.2273223,26.865,0.63879454,0.36120546,0.8499476,18.768911
en,baked,( of food ) cooked by dry heat in an oven,( of food ) cooked by dry heat in an oven,under the influence of marijuana; stoned,under the influence of marijuana; stoned,0.13622467,0.8637753,1.3143631,28.4512,0.55931616,0.44068384,0.93881184,21.044548
en,baller,A person or device that makes or forms something into balls,A person or device that makes or forms something into balls,very cool or stylish,very cool or stylish,0.28726262,0.7127374,1.1939325,25.194603,0.19600382,0.8039962,1.2680663,28.152878
en,bam,Used to imitate the sound of a hard blow or to convey something happening abruptly,Used to imitate the sound of a hard blow or to convey something happening abruptly,there you go; and then suddenly; etc.  Usually spoken with increased volume,there you go; and then suddenly; etc.  Usually spoken with increased volume,0.60278463,0.39721537,0.89130837,19.161003,0.6102692,0.3897308,0.88287115,19.480068
en,band,"A flat , thin strip or loop of material , used as a fastener , for reinforcement , or as decoration","A flat , thin strip or loop of material , used as a fastener , for reinforcement , or as decoration",one thousand dollars,one thousand dollars,0.06320324,0.9367968,1.3687928,28.11388,0.25378516,0.74621487,1.2216505,27.165277
en,bandwidth,"A range of frequencies within a given band , in particular that used for transmitting a signal","A range of frequencies within a given band , in particular that used for transmitting a signal",a person's work capacity,a person's work capacity,0.17235228,0.8276477,1.2865828,27.665384,0.32589567,0.67410433,1.1611239,25.99133
en,bang,"A sudden loud , sharp noise","A sudden loud , sharp noise",to be very good; be awesome,to be very good; be awesome,0.16151293,0.8384871,1.2949803,27.366062,0.67473006,0.32526994,0.8065605,18.027916
en,bank,The land alongside or sloping down to a river or lake,The land alongside or sloping down to a river or lake,a great deal of money,a great deal of money,0.12771715,0.87228286,1.3208201,28.004921,0.2514096,0.7485904,1.2235935,27.171886
en,banter,The playful and friendly exchange of teasing remarks,The playful and friendly exchange of teasing remarks,"Gossip, Fun, Cheeky Chat","Gossip, Fun, Cheeky Chat",0.7021415,0.29785848,0.77182704,16.51091,0.7169757,0.2830243,0.752362,16.669727
en,bap,"A large , round , flattish bread roll , typically with a spongy texture and floury top","A large , round , flattish bread roll , typically with a spongy texture and floury top",verbal imitation of gunfire,verbal imitation of gunfire,0.030168971,0.96983105,1.3927176,30.270786,0.051620204,0.9483798,1.377229,30.840858
en,barbie,A doll representing a conventionally attractive young woman,A doll representing a conventionally attractive young woman,barbecue,barbecue,0.03703578,0.96296424,1.3877783,29.768517,0.061487824,0.9385122,1.3700453,30.656809
en,bareback,On an unsaddled horse or other animal,On an unsaddled horse or other animal,"of sex, unprotected sex","of sex, unprotected sex",0.25619566,0.74380434,1.2196755,26.474237,0.3406564,0.6593436,1.1483411,25.428093
en,barge,"A long flat - bottomed boat for carrying freight on canals and rivers , either under its own power or towed by another","A long flat - bottomed boat for carrying freight on canals and rivers , either under its own power or towed by another",a large car,a large car,0.37088132,0.6291187,1.1217119,24.775244,0.55679834,0.44320166,0.94149,20.896797
en,base,"The lowest part or edge of something , especially the part on which it rests or is supported","The lowest part or edge of something , especially the part on which it rests or is supported","perverted, horny, animalistic","perverted, horny, animalistic",0.12956186,0.87043816,1.3194227,28.081057,0.17532505,0.82467496,1.2842702,28.429974
en,bate,( of a hawk ) beat the wings in agitation and flutter off the perch,( of a hawk ) beat the wings in agitation and flutter off the perch,masturbate,masturbate,0.15061212,0.8493879,1.303371,28.16447,0.4354754,0.5645246,1.0625674,23.628632
en,battered,Injured by repeated blows or punishment,Injured by repeated blows or punishment,extremely intoxicated,extremely intoxicated,0.32931504,0.67068493,1.1581752,24.952078,0.48745853,0.5125415,1.0124637,22.533894
en,beagle,"A small hound of a breed with a short coat , used for hunting hares","A small hound of a breed with a short coat , used for hunting hares",a funny person; joker; smart-ass; class clown,a funny person; joker; smart-ass; class clown,0.067149125,0.9328509,1.365907,30.13028,0.31652862,0.6834714,1.1691632,26.002045
en,beam,"A long , sturdy piece of squared timber or metal used to support the roof or floor of a building","A long , sturdy piece of squared timber or metal used to support the roof or floor of a building",to hit in the head,to hit in the head,0.16958189,0.8304181,1.2887342,27.028301,0.39081934,0.6091807,1.1037941,24.56023
en,bean,"An edible seed , typically kidney - shaped , growing in long pods on certain leguminous plants","An edible seed , typically kidney - shaped , growing in long pods on certain leguminous plants",an Ecstasy (MDMA) pill or tablet,an Ecstasy (MDMA) pill or tablet,0.11242515,0.88757485,1.3323474,28.547848,-0.059553884,1.0595539,1.4557155,32.04591
en,bear,( of a person ) carry,( of a person ) carry,a difficult task,a difficult task,0.3851142,0.6148858,1.1089507,23.73677,0.64685464,0.35314536,0.84041095,18.602037
en,beast,"An animal , especially a large or dangerous four - footed one","An animal , especially a large or dangerous four - footed one","very good, excellent;","very good, excellent;",0.12114136,0.8788586,1.3257893,28.721167,0.22511739,0.7748826,1.2448957,27.812824
en,beastly,Cruel and unrestrained,Cruel and unrestrained,"very good, excellent;","very good, excellent;",0.080322795,0.9196772,1.356228,29.124062,0.4385795,0.5614205,1.059642,23.625715
en,beat,"Strike ( a person or an animal ) repeatedly and violently so as to hurt or injure them , typically with an implement such as a club or whip","Strike ( a person or an animal ) repeatedly and violently so as to hurt or injure them , typically with an implement such as a club or whip",lacking excitement or people; boring,lacking excitement or people; boring,0.07448851,0.9255115,1.3605231,29.141964,-0.006193186,1.0061932,1.418586,32.10491
en,beat down,( of the sun ) radiate intense heat and brightness,( of the sun ) radiate intense heat and brightness,a fight or severe beating.  One typically gives or puts a beat down.  See,a fight or severe beating.  One typically gives or puts a beat down.  See,0.12337743,0.87662256,1.3241016,28.61187,0.2070909,0.7929091,1.2592926,28.101048
en,beater,"A person who hits someone or something , typically on a habitual basis","A person who hits someone or something , typically on a habitual basis",unattractive or undesirable.  Applied to a person,unattractive or undesirable.  Applied to a person,0.38002297,0.619977,1.1135322,23.571976,0.46787542,0.5321246,1.0316246,22.902218
en,beauty,"A combination of qualities , such as shape , colour , or form , that pleases the aesthetic senses , especially the sight","A combination of qualities , such as shape , colour , or form , that pleases the aesthetic senses , especially the sight","An exclamation used by itself when something of exceptional sweetness or luck occurs, like sinking a whole in one on a 300 yard hole. Also used to congratulate oneself or another on a sturdy or exceptional performance","An exclamation used by itself when something of exceptional sweetness or luck occurs, like sinking a whole in one on a 300 yard hole. Also used to congratulate oneself or another on a sturdy or exceptional performance",0.226134,0.773866,1.2440789,26.332302,0.160126,0.839874,1.2960509,28.785492
en,beaver,A large semiaquatic broad - tailed rodent native to North America and northern Eurasia . It is noted for its habit of gnawing through trees to fell them in order to make dams,A large semiaquatic broad - tailed rodent native to North America and northern Eurasia . It is noted for its habit of gnawing through trees to fell them in order to make dams,vagina,vagina,0.09493421,0.9050658,1.3454113,29.10102,0.1526292,0.8473708,1.3018224,29.09718
en,bed,"A piece of furniture for sleep or rest , typically a framework with a mattress","A piece of furniture for sleep or rest , typically a framework with a mattress",to have sex with someone,to have sex with someone,0.1337739,0.8662261,1.3162265,28.959545,0.19115739,0.8088426,1.2718825,28.435364
en,beef,"The flesh of a cow , bull , or ox , used as food","The flesh of a cow , bull , or ox , used as food",a problem or grudge with someone,a problem or grudge with someone,0.04835038,0.9516496,1.3796011,29.88647,0.36840805,0.6315919,1.1239146,25.230412
en,beeswax,The wax secreted by bees to make honeycombs and used to make wood polishes and candles,The wax secreted by bees to make honeycombs and used to make wood polishes and candles,business,business,0.07037407,0.9296259,1.3635439,28.79667,0.110397376,0.8896026,1.3338685,29.625185
en,behind,"At or to the far side of ( something ), typically so as to be hidden by it","At or to the far side of ( something ), typically so as to be hidden by it",buttocks,buttocks,0.30189815,0.6981019,1.1816106,24.708464,0.5729266,0.42707342,0.92420065,20.331738
en,bender,An object or person that bends something,An object or person that bends something,an extended period of alcohol or drug use.  Usually more than a single night,an extended period of alcohol or drug use.  Usually more than a single night,0.25491992,0.7450801,1.2207212,25.966454,0.37052208,0.6294779,1.122032,24.98808
en,bent,Sharply curved or having an angle,Sharply curved or having an angle,greatly under the influence of alcohol or drugs,greatly under the influence of alcohol or drugs,0.13292071,0.86707926,1.3168745,28.001242,0.27425212,0.7257479,1.2047803,26.31337
en,bet,Risk a sum of money or valued item against someone else's on the basis of the outcome of an unpredictable event such as a race or game,Risk a sum of money or valued item against someone else's on the basis of the outcome of an unpredictable event such as a race or game,"a confirmation, or a contract expression used in betting scenarios","a confirmation, or a contract expression used in betting scenarios",0.43653208,0.5634679,1.0615723,21.963768,0.6382157,0.36178428,0.85062826,18.770588
en,beta,"The second letter of the Greek alphabet (, ), transliterated as b","The second letter of the Greek alphabet (, ), transliterated as b",a pre-release product that is released for testing,a pre-release product that is released for testing,0.08573584,0.91426414,1.3522308,29.277796,0.09815831,0.9018417,1.3430128,29.72932
en,billy,"A tin or enamel cooking pot with a lid and a wire handle , for use when camping","A tin or enamel cooking pot with a lid and a wire handle , for use when camping",abbreviated form of hillbilly,abbreviated form of hillbilly,0.23651528,0.7634847,1.2357061,26.297115,0.12079474,0.8792052,1.3260508,29.332499
en,bin,A receptacle in which to deposit rubbish,A receptacle in which to deposit rubbish,"to throw away, i.e. put into a trash bin","to throw away, i.e. put into a trash bin",0.74638,0.25362003,0.71220785,15.45484,0.815206,0.18479401,0.6079375,13.4289
en,binder,A cover for holding magazines or loose sheets of paper together,A cover for holding magazines or loose sheets of paper together,a rubber band,a rubber band,0.44704777,0.55295223,1.05162,22.328983,0.4131769,0.5868231,1.0833496,24.461037
en,bing,"A heap , especially of metallic ore or of waste from a mine","A heap , especially of metallic ore or of waste from a mine",jail or prison,jail or prison,0.15479814,0.84520185,1.3001553,27.940922,0.26070216,0.73929787,1.2159752,27.11332
en,biscuit,"A small baked unleavened cake , typically crisp , flat , and sweet","A small baked unleavened cake , typically crisp , flat , and sweet",Cheap or poor quality,Cheap or poor quality,0.11361781,0.8863822,1.331452,28.153656,0.12374722,0.8762528,1.3238224,29.162357
en,bitch,"A female dog , wolf , fox , or otter","A female dog , wolf , fox , or otter","the middle seat in the front or back of a vehicle.  The term is used most frequently to refer to the back, likely simply because most modern vehicles (especially cars) don't have a middle seat in the front","the middle seat in the front or back of a vehicle.  The term is used most frequently to refer to the back, likely simply because most modern vehicles (especially cars) don't have a middle seat in the front",0.064024225,0.9359758,1.3681928,29.10598,0.27921835,0.7207817,1.2006512,26.791887
en,bitter,"Having a sharp , pungent taste or smell ; not sweet","Having a sharp , pungent taste or smell ; not sweet",abbreviated form of bitterly cold,abbreviated form of bitterly cold,0.4110198,0.5889802,1.0853388,23.045893,0.61653286,0.38346714,0.8757479,19.257196
en,black and white,"( of a photograph , film , television programme , etc .) in black , white , shades of grey , and no other colour","( of a photograph , film , television programme , etc .) in black , white , shades of grey , and no other colour",An issue/thought process that divides everything into two opposing categories,An issue/thought process that divides everything into two opposing categories,0.12522717,0.87477285,1.322704,28.095322,0.03935133,0.96064866,1.3861086,30.792725
en,blast,A destructive wave of highly compressed air spreading outwards from an explosion,A destructive wave of highly compressed air spreading outwards from an explosion,something very fun,something very fun,0.24242829,0.7575717,1.2309116,26.560154,0.50525314,0.49474686,0.9947331,21.651463
en,blasted,Withered or blighted ; laid waste,Withered or blighted ; laid waste,"v. slang for getting shot, made popular by rap music artists, in the mid 90's","v. slang for getting shot, made popular by rap music artists, in the mid 90's",0.25349015,0.74650985,1.2218919,25.544151,0.38856834,0.61143166,1.1058315,24.387062
en,blaze,A very large or fiercely burning fire,A very large or fiercely burning fire,an extremely attractive person,an extremely attractive person,0.20024016,0.79975986,1.2647212,27.567938,0.29706603,0.70293397,1.185693,26.739197
en,blazing,Very hot,Very hot,extremely attractive,extremely attractive,0.4186966,0.58130336,1.0782424,23.13114,0.48445326,0.51554674,1.0154277,22.724443
en,blind,"Unable to see because of injury , disease , or a congenital condition","Unable to see because of injury , disease , or a congenital condition",In love,In love,0.08050634,0.9194937,1.3560927,28.984692,0.26724198,0.73275805,1.2105851,27.0938
en,blip,"An unexpected , minor , and typically temporary deviation from a general trend","An unexpected , minor , and typically temporary deviation from a general trend",a short amount of time,a short amount of time,0.23998177,0.7600182,1.2328976,26.153305,0.42801756,0.57198244,1.069563,23.74282
en,blonde,( of hair ) fair or pale yellow,( of hair ) fair or pale yellow,dumb or stupid,dumb or stupid,0.16363353,0.8363665,1.2933419,27.386354,0.11088366,0.88911635,1.333504,29.651047
en,blood,"The red liquid that circulates in the arteries and veins of humans and other vertebrate animals , carrying oxygen to and carbon dioxide from the tissues of the body","The red liquid that circulates in the arteries and veins of humans and other vertebrate animals , carrying oxygen to and carbon dioxide from the tissues of the body",a member of the Bloods gang,a member of the Bloods gang,0.16098195,0.83901805,1.2953904,27.82423,0.25919077,0.7408092,1.2172174,27.469429
en,bloody,"Covered , smeared , or running with blood","Covered , smeared , or running with blood",an intensifier.  A somewhat less offensive replacement for fucking.  UK slang,an intensifier.  A somewhat less offensive replacement for fucking.  UK slang,0.32866287,0.6713371,1.1587383,24.848675,0.39672077,0.60327923,1.0984346,24.258102
en,blotter,"A sheet or pad of blotting paper in a frame , kept on a desk","A sheet or pad of blotting paper in a frame , kept on a desk",LSD (acid) on blotter paper,LSD (acid) on blotter paper,0.5890639,0.41093612,0.9065717,19.096703,0.6020271,0.39797288,0.8921579,20.330605
en,blow,( of wind ) move creating an air current,( of wind ) move creating an air current,cocaine,cocaine,0.10750562,0.8924944,1.3360348,28.895575,0.4477536,0.5522464,1.0509485,23.537132
en,blower,"A person or thing that blows , especially a mechanical device for creating a current of air used to dry or heat something","A person or thing that blows , especially a mechanical device for creating a current of air used to dry or heat something",a person or object that erred,a person or object that erred,0.29568028,0.7043197,1.1868612,25.301598,0.44417936,0.55582064,1.054344,23.502693
en,blow up,Explode,Explode,to significantly increase in one's socio-economic status,to significantly increase in one's socio-economic status,0.10428819,0.8957118,1.3384408,27.976109,0.42403638,0.5759636,1.0732788,24.065672
en,blowy,Windy or windswept,Windy or windswept,a lie,a lie,0.098947,0.901053,1.3424253,28.500776,0.37366933,0.6263307,1.1192235,25.10912
en,blue screen,( in film and video techniques such as chromakey ) a blue background in front of which moving subjects are filmed and which allows a separately filmed background to be added to the final image,( in film and video techniques such as chromakey ) a blue background in front of which moving subjects are filmed and which allows a separately filmed background to be added to the final image,a complete computer crash,a complete computer crash,0.04347749,0.9565225,1.3831286,29.473278,0.25227714,0.74772286,1.2228843,27.521118
en,bluff,An attempt to deceive someone into believing that one can or is going to do something,An attempt to deceive someone into believing that one can or is going to do something,to lie,to lie,0.57374346,0.42625654,0.9233164,19.519089,0.68106,0.31893998,0.79867387,17.73569
en,blunt,( of a cutting implement ) not having a sharp edge or point,( of a cutting implement ) not having a sharp edge or point,a marijuana cigarette;,a marijuana cigarette;,0.27014855,0.7298515,1.2081817,25.953308,0.53155714,0.46844286,0.96792865,21.596523
en,bob,"Make a quick , short movement up and down","Make a quick , short movement up and down",a fat woman.  Acronym for Big Ol\' Bitch,a fat woman.  Acronym for Big Ol\' Bitch,0.19027404,0.80972594,1.2725768,27.872082,0.23805922,0.7619408,1.234456,27.504255
en,bog,An area of wet muddy ground that is too soft to support a heavy body,An area of wet muddy ground that is too soft to support a heavy body,a restroom.,a restroom.,0.25289404,0.74710596,1.2223796,26.443405,0.045708362,0.95429164,1.3815149,31.091145
en,bogey,A score of one stroke over par at a hole,A score of one stroke over par at a hole,an enemy aircraft,an enemy aircraft,0.186705,0.813295,1.2753785,27.744957,0.30096173,0.69903827,1.1824028,26.450365
