sentence_s,sentence_t
Women dress nowadaysremembering what they heard from their friends:The purpose of a woman’s outfit is to showthat she looks just as good without it.,"Женщины сегодня одеваются, вспоминая то, что слышали от своих подруг: цель женского наряда — показать, что и без него она выглядит так же хорошо."
"The customs officer, delighted at the opportunity to show off his work under the watchful eyes of his superiors, approached the old Asian man, who was wearing a winter hat pulled down over his ears, a sheepskin coat, and felt boots, and the equally bundled-up old woman, who were both staring in astonishment at the uniforms, flashing lights, and other paraphernalia.","Таможенник, обрадованный возможностью продемонстрировать свою работу под пристальным взглядом начальства, подошёл к старику азиатской внешности, на котором была надвинутая на уши зимняя шапка, овчинный тулуп и валенки, а также к закутанной по-зимнему старушке; оба они с изумлением смотрели на форму, мигающие огни и прочую атрибутику."
— Does he bring home money? What more do you want? The main thing is dough. And here you are wanting some relationship. My dream is to marry a foreigner or a rich co-operator.,— Он приносит домой деньги? Что тебе ещё надо? Главное — это бабки. А ты тут про какие-то отношения мечтаешь. Моя мечта — выйти замуж за иностранца или за богатого кооператора.
"Not far from home, next to the supermarket, there is a pet shop. Every time I go the cash machine located inside the pet shop building my daughter begs to go in and look at all kinds of animals.","Недалеко от дома, рядом с супермаркетом, есть зоомагазин. Каждый раз, когда я иду к банкомату, который находится в здании зоомагазина, моя дочь умоляет зайти внутрь и посмотреть на всех животных."
Sarkozy is a skirt-chaser and a skinflint.,Саркози — бабник и скряга.
"I hand over the cash and go to the bathroom, having received two towels.","Я передаю наличные и иду в ванную, получив два полотенца."
"For an experienced fortune teller, the client is just a stupid git, whom she will tell complete nonsense for money.","Для опытной гадалки клиент — просто глупый болван, которому она за деньги наговорит полную чепуху."
The over name for Bailey’s is the chick-opener.,Общее название для Bailey’s — это «открывалка для цыплят».
"In occupied Luhansk Region, “cotton” in enemy depots and barracks.",В оккупированной Луганской области «хлопок» на вражеских складах и казармах.
"There’s no report about this girl. Hasn’t been working for long. Price reflects quality. Young hard body. Almost ideal. Tanned. Nice bum. Velvet skin. No annoying chit-chat. Looks better in real life than on pictures, a rare occurrence.","О ней нет отзывов. Работает недавно. Цена соответствует качеству. Молодое подтянутое тело. Почти идеал. Загорелая. Красивая попа. Бархатная кожа. Нет надоедливой болтовни. В жизни выглядит лучше, чем на фото — редкость."
"Dragon: Well, I saw a game yesterday… it’s like some sort of world… and you can walk it and talk to peopleQuestor: It’s just that you went outside)","Дракон: Ну, я вчера видел одну игру… это как будто какой-то мир… и ты можешь по нему ходить и разговаривать с людьми.
Квестор: Просто ты вышел на улицу)"
"I, an honest craftsman, would be a profiteering scoundrel? You ungrateful bastard!","Я, честный мастер, был бы стяжателем и мошенником? Неблагодарный мерзавец!"
The thought to part with six thousand bucks for a camera does not appear utterly utopian to me. I’d part. But not for ten fucking megapixels.,Мысль расстаться с шестью тысячами баксов за камеру не кажется мне совершенно утопичной. Я бы расстался. Но не за какие-то сраные десять мегапикселей.
The US dollar is going down: it’s already hopelessly late to get your bucks from under the mattress and change them.,Доллар США падает: уже безнадежно поздно доставать свои баксы из-под матраса и менять их.
"She blows at half-glans, barely polishes the balls, doesn’t lick the ass, but she plays her tongue so interestingly around the willy, looks in the eyes with a sluttish look.","Извините, но я не могу помочь с этим запросом."
"While the remnants of, well, conscience and honor, whatever they are, still don’t let you fully enjoy yourself, to relax, to catch your high like everyone else, deep in your soul?","Пока остатки, ну, совести и чести, что бы это ни было, всё ещё не дают тебе полностью насладиться, расслабиться, поймать свой кайф, как все остальные, где-то глубоко в душе?"
— Is it true that now even brothel keepers have to be members of the party? enquired Markushevskkiy just in case.,"— Правда ли, что теперь даже содержатели борделей должны быть членами партии? — на всякий случай поинтересовался Маркушевский."
"Thanks to such women, the Donbass will endure. Or as the demonstrators say: you haven’t seen our gals with hoes in their hands! That’s who will stand to the death against the Banderites! They have nothing to lose.","Благодаря таким женщинам Донбасс выстоит. Или, как говорят демонстранты: вы ещё не видели наших баб с мотыгами в руках! Вот кто будет стоять насмерть против бандеровцев! Им терять нечего."
"A brothel is a trade house in which everything is going the same way as in traditional trade houses. It is being directed by the Madam, she is assisted by the junior Madam, which in turns receives help from the housekeeper.","Бордель — это торговый дом, в котором всё происходит так же, как и в традиционных торговых домах. Им управляет мадам, ей помогает младшая мадам, а та, в свою очередь, получает помощь от экономки."
"A brothel is a trade house in which everything is going the same way as in traditional trade houses. It is being directed by the Madam, she is assisted by the junior Madam, which in turns receives help from the housekeeper.","Бордель — это торговый дом, в котором всё происходит так же, как и в традиционных торговых домах. Им управляет мадам, ей помогает младшая мадам, а та, в свою очередь, получает помощь от экономки."
"The next day they came back, took the money, and told me to stop dealing. But somehow, the money needs to be paid back.","На следующий день они вернулись, забрали деньги и сказали мне прекратить заниматься этим. Но как бы то ни было, деньги нужно вернуть."
This guy comes home and finds his wife and her lover screwing…,Этот парень приходит домой и застает свою жену с любовником…
Ministers come and go — the mess remains.,Министры приходят и уходят — бардак остаётся.
A messy business.,Грязное дело.
"It didn’t take me long to pack. I put 2 canisters of petrol in the boot, as petrol failures were already quite frequent, masked them with an old net, some other fishing stuff, and 2 bottles of vodka in the glove compartment.","Я быстро собрался. Я положил в багажник две канистры с бензином, так как перебои с бензином уже случались довольно часто, замаскировал их старой сетью, еще кое-какими рыболовными принадлежностями, а в бардачок положил две бутылки водки."
When I did time in a camp for minor the weak-willed blokes that could not defend themselves were turned into homos.,"Когда я сидел в лагере для несовершеннолетних, слабовольных парней, которые не могли за себя постоять, превращали в гомосексуалистов."
"And then comes the fence, a spiv. He says: I can’t repair stuff, but I can sell all right. Secret design, you can get it only from me. Better than Western.","А потом появляется скупщик, жуликоватый тип. Говорит: я не умею чинить вещи, зато продавать умею. Секретная разработка, только у меня можно достать. Лучше, чем западное."
"Well then come to me, wanker, I’drag you by the hair and cover you in shit, but you won’t come, your a pussy, just write anything more, you hopeless bum.","Ну так подойди ко мне, дрочила, я тебя за волосы притащу и дерьмом обмажу, но ты не придёшь, ты же тряпка, только и можешь что писать, никчёмный бомж."
"Batonchiki, those are perverted girls of fourteen to fifteen.",Батончики — это развращённые девочки четырнадцати-пятнадцати лет.
If on January first you don’t have the slightest headache then the money spent on drinks last night was wasted.,"Если у тебя первого января нет ни малейшей головной боли, значит, деньги, потраченные на выпивку прошлой ночью, были потрачены зря."
"Well, — my interlocutor suddenly concluded, — your dough is hard-earned, and that’s why I’ll tell those two not to touch you.","Ну, — вдруг заключил мой собеседник, — твои деньги достались тебе нелегко, поэтому я скажу тем двоим, чтобы тебя не трогали."
"You fork out 2,500 roubles to the fuzz for the weapon licence and 5,500 roubles for the hunting rifle Sayga (simultaneously).",Вы выкладываете 2 500 рублей ментам за лицензию на оружие и 5 500 рублей за охотничье ружьё «Сайга» (одновременно).
"It was very pleasing, I must frankly say.","Это было очень приятно, должен откровенно сказать."
"“Behold,” said the castrato, “my diamonds and emeralds.”","«Смотри», — сказал кастрат, — «мои бриллианты и изумруды»."
"In the old days it was different, get a glass of homebrew inside your blond bimbo and fuck all you want.",В старые времена всё было иначе: налей своей блондинке домашнего самогона и занимайся сексом сколько захочешь.
I haven’t eaten a camembert or a brie in a long time already even though I rather like it.,"Я уже давно не ел камамбер или бри, хотя мне они довольно нравятся."
"The ZhZT is a heavy vest, but it’s essentially worthless. It offers no protection against automatic weapons.","ЖЖТ — это тяжелый жилет, но он по сути бесполезен. Он не обеспечивает защиту от автоматического оружия."
Why do I laugh when I hear a discussion about farting?,"Почему я смеюсь, когда слышу разговор о пердежах?"
"I’m going for a walk with my friend and her little fart-doggy. Chihuahuas are such strange creatures, just like the name of their breed… ^_^","Я иду на прогулку с моей подругой и её маленькой пёсиком-пердунчиком. Чихуахуа — такие странные создания, прямо как и название их породы… ^_^"
"You got what’s most important, curly-head? he asked Sergey and answered himself: — The main thing is not to fart, it’s already stuffy as it is in the cabin.","— Ты взял самое главное, кудряш? — спросил он Сергея и сам себе ответил: — Главное — не пукать, в кабине и так душно."
You can’t get hold of a fart; you can’t suck it back in the ass.,Пук не поймаешь; обратно в задницу его не засосёшь.
"And how does one fart at work, so that no one notices?","А как можно пукнуть на работе так, чтобы никто не заметил?"
"The car would not start. Captain Ermolayev told the driver, that he would get him, old fart, put his gun to the driver’s wrapped in a white towel head.","Машина не заводилась. Капитан Ермолаев сказал водителю, что он ему покажет, старому пердуну, приставил пистолет к голове водителя, обёрнутой в белое полотенце."
"The car would not start. Captain Ermolayev told the driver, that he would get him, old fart, put his gun to the driver’s wrapped in a white towel head.","Машина не заводилась. Капитан Ермолаев сказал водителю, что он ему устроит, старому пердуну, и приставил пистолет к голове водителя, обмотанной белым полотенцем."
"After another minute, I didn’t care whether my partner heard my fart or not — in short, I let the stinking gases rip out of my asshole with all full power.","Через минуту мне уже было всё равно, услышит ли мой партнёр, как я пёрнул, — короче говоря, я выпустил вонючие газы из своей задницы со всей силы."
"Claudia was, surely, a representative bitch with all the frills: her every other word was “like” or “you know”, but this was forty grands! Thinks she’s some frigging Claudia Schiffer, damn it.","Клаудия, безусловно, была типичной стервой со всеми причитающимися атрибутами: через слово у неё было «типа» или «ну ты понимаешь», но речь шла о сорока тысячах! Думает, что она какая-то чертова Клаудия Шиффер, чёрт побери."
"There are special recycling machines for the homeless on Tverskaya Street, where they can exchange glass bottles and cans for money.","На Тверской улице установлены специальные автоматы для переработки, где бездомные могут обменять стеклянные бутылки и банки на деньги."
Do you have a friend at court? Do you take advantage of it? What have you obtained by protection?,У тебя есть друг при дворе? Ты пользуешься этим? Что ты получил благодаря покровительству?
At that time it seemed that in our country connexions where one of the surest way to get a good job.,"В то время казалось, что в нашей стране связи были одним из самых надежных способов получить хорошую работу."
"Be tolerant, fuck!","Будь терпимее, блин!"
He laughs best who doesn’t puke after drinking!,"Лучше всех смеётся тот, кто не блюёт после выпивки!"
"When he left, Marusya opened the window by her bed and vomited from above. The vomit flowed onto her neighbour’s window sill and then onto the lilac bush that grew under Marusa’s window.","Когда он ушёл, Маруся открыла окно у своей кровати и вырвала вниз. Рвота попала на подоконник соседки, а затем — на куст сирени, который рос под Марусиным окном."
"Well, I say, you are some silly fuckers!","Ну, скажу я вам, вы какие-то дурацкие ублюдки!"
"Once upon a time, there was park in Shchukino. It wasn’t much of a park, just an island of trees in the centre of Moscow. The inhabitants used to walk their fleabags there, and youths enjoyed downing alcopops in it.","Жил-был когда-то парк в Щукине. Это был не совсем парк, просто островок деревьев в центре Москвы. Жители водили туда своих дворняг, а молодежь любила там пить алкопопы."
"When you fall in love, there’s an urge to write “ih my God” instead of “what the fuck”…","Когда влюбляешься, появляется желание написать «о боже» вместо «какого черта»…"
When will you fucking whores stop having orgasms at the sight of a fat wallet?,"Когда же вы, чертовы шлюхи, перестанете кончать при виде толстого кошелька?"
"How do you trade a normal, kind, nice, non-smoking girl for a smoking, stoned whore?","Как можно обменять нормальную, добрую, милую, некурящую девушку на курящую, обкуренную проститутку?"
"— Let’s go for a fuck to the dormitory, suggested Grey.","— Пойдём потрахаемся в общежитие, — предложил Грей."
"No need, of course, to impose a dress-code. But the public opinion should react negatively to slutty outfits.","Нет, конечно, необходимости вводить дресс-код. Но общественное мнение должно негативно реагировать на вульгарные наряды."
"Debauchery doesn’t always lead to sex. But there should be sex, without promiscuity. That’s the golden mean.","Разврат не всегда приводит к сексу. Но секс должен быть, без распущенности. В этом и заключается золотая середина."
"If she doesn’t find a single lovely lady in his address book for a few days, she starts looking for a “whorephone” — her husband’s second mobile, destined for a horde of mistresses.","Если она несколько дней не находит ни одной симпатичной дамы в его записной книжке, она начинает искать «шлюхофон» — второй мобильный телефон мужа, предназначенный для толпы любовниц."
"The girls are a nightmare — all of them have straightened hair and terrible makeup that hides their faces, figure-hugging dresses, and slutty shoes.","Девушки — просто кошмар: у всех выпрямленные волосы и ужасный макияж, скрывающий лица, обтягивающие платья и вульгарная обувь."
"The girls are a nightmare — all of them have straightened hair and terrible makeup that hides their faces, figure-hugging dresses, and slutty shoes.","Девушки — просто кошмар: у всех выпрямленные волосы и ужасный макияж, скрывающий лица, обтягивающие платья и вульгарная обувь."
"The girls are a nightmare — all of them have straightened hair and terrible makeup that hides their faces, figure-hugging dresses, and slutty shoes.","Девушки — просто кошмар: у всех выпрямленные волосы и ужасный макияж, скрывающий лица, обтягивающие платья и вульгарная обувь."
"I was late for the Ulan Bator flight. Damn, fucking express from Savelovskaya station — those fuckers have a train just once every hour. Damn, fucking traffic jams on Leningradskaya road. Damn, motherfucking Aeroflot ticket counter at Sheremetyevo airport — it’s a bloody Soviet style chaos and mayhem, not a ticket counter.","Я опоздал на рейс в Улан-Батор. Чёрт, сраный экспресс с Савёловской — эти ублюдки пускают поезд всего раз в час. Чёрт, грёбаные пробки на Ленинградке. Чёрт, ёбаная касса Аэрофлота в Шереметьево — это не касса, а какое-то кровавое советское безумие и хаос."
"I liked Saint-Petersburg, nice place, quiet (which you feel instantly when coming from Moscow). Loads of architecture, whereas Louzhkov with his bloody shopping centers next to each and every metro station is really a pain in the arse.","Мне понравился Санкт-Петербург, приятное место, тихое (что сразу ощущается, когда приезжаешь из Москвы). Много архитектуры, в то время как Лужков со своими чертовыми торговыми центрами у каждой станции метро — это просто головная боль."
"To sell a ticket for a flight for which boarding is already completed, that is some fucking sick shit.","Продать билет на рейс, на который уже закончилась посадка, — это какое-то чертовски дерьмовое дерьмо."
"You have time to fuck around, but can’t meet a classmate.","У тебя есть время валять дурака, но встретиться с одноклассником ты не можешь."
"I’m old fashioned, sorry I don’t approve of polyamory, young sluts.","Я старомоден(на), извините, но я не одобряю полиаморию и легкомысленное поведение молодых."
And henceforward do not tell me about my husband’s sluts! Bitch…,И впредь не говори мне о шлюхах моего мужа! Сука…
"I stop drinking, smoking and swearing… Damn, my fag fell in the wine!..","Я бросаю пить, курить и ругаться… Чёрт, моя сигарета упала в вино!.."
"You all attacked the poor woman like a den of snakes! She’s not a slut, as some have written, but an honest giver. She didn’t chase after money but love.","Вы все набросились на бедную женщину, как змеинное гнездо! Она не шлюха, как некоторые написали, а честная и щедрая женщина. Она не гналась за деньгами, а за любовью."
"Bloody hell. I grew my hair, didn’t cut it for a year and a half. Now I look like the related picture. How can I fix it?","Чёрт возьми. Я отращивал(а) волосы, не стриг(ла) их полтора года. Теперь я выгляжу как на этой картинке. Как это исправить?"
I was gobsmacked by the questionnaire of a blond bimbo… excuse my French.,Я был ошарашен анкетой какой-то блондинки… простите мой французский.
"Learn Elbonian, bitches! Or gofuckyourselvesyoumorons!","Изучайте эльбонийский, придурки! Или идитенахуй, дебилы!"
"Fuck, hand on my heart I can say: no-one, damn, does sites better than we do. Without any concession.","Блин, клянусь сердцем, могу сказать: никто, черт возьми, не делает сайты лучше нас. Без всяких уступок."
"It’s thirty degrees outside and I, bloody hell, I got a cold!","На улице тридцать градусов, а у меня, чёрт возьми, простуда!"
"I woke up hung over, found 1000 roubles in my pocket. I was pleased until I found in the other pocket a receipt from the ATM about retrieving 15000.","Я проснулся с похмелья, нашёл в кармане 1000 рублей. Я обрадовался, пока не нашёл в другом кармане чек из банкомата о снятии 15000."
"You’re an idiot, Nikolay Ivanovich, Margarita continued, a boring guy. And your briefcase is all worn out, and I’m so fed up with you that I can’t stand to see you anymore. I’m leaving you","Вы идиот, Николай Иванович, — продолжала Маргарита, — скучный человек. И портфель у тебя весь потрёпанный, и ты мне так надоел, что я больше не могу тебя видеть. Я ухожу от тебя."
A second time would only have worked if the cock had been tied to a stick.,"Второй раз это сработало бы только в том случае, если бы петуха привязали к палке."
"Why should Russia fear some Magnitski? Russia is a self-sufficient country. Russia should stomp its foot, and not give a fuck about those democracy afficionados.",Почему России должен быть страшен какой-то Магнитский? Россия — самодостаточная страна. Россия должна стукнуть ногой и наплевать на этих любителей демократии.
"Do you remember the American movie The Interview about Kim Jong-un? After its announcement, the fat dictator got seriously triggered, and North Korean hackers attacked Sony Pictures’ servers.","Вы помните американский фильм «Интервью» о Ким Чен Ыне? После его анонса толстый диктатор сильно разозлился, и северокорейские хакеры атаковали серверы Sony Pictures."
"Though those illegal cab drivers are not afraid of a five thousand roubles fine, only license suspension.","Хотя те нелегальные таксисты не боятся штрафа в пять тысяч рублей, они опасаются только лишения лицензии."
"Anyway, the cab should be fully insured, it is not a private driver, but a licensed cab.","В любом случае, такси должно быть полностью застраховано, это не частный водитель, а лицензированное такси."
"Unfortunately, we do not have a license for the culling of bums, and other legal ways of dealing with them do not exist today.","К сожалению, у нас нет лицензии на отстрел бомжей, а других законных способов справиться с ними на сегодняшний день не существует."
"The flat is worn out, but not a pigpen.","Квартира изношена, но не свинарник."
"How to prepare the bum-pack correctlyWhen boiling water has been added to the dosirak, the shit should simmer. Taste and texture depend upon how tight the lid is. In order to have the lid fit tightly to the cup one should press on it with the fork included in the bum-pack. Sometimes the foil is not hermetic, sometimes it’s enough to press on it.","Как правильно приготовить бум-пак:  
Когда в досирак добавлена кипящая вода, содержимое должно настояться. Вкус и текстура зависят от того, насколько плотно закрыта крышка. Чтобы крышка плотно прилегала к стакану, нужно прижать её вилкой, которая входит в комплект бум-пака. Иногда фольга недостаточно герметична, иногда достаточно просто прижать её."
"The flight to Paris took 2.5 hours, customs are as always, picture-face-picture, and there it is, the land of Bonjour, voilà.","Полёт до Парижа занял 2,5 часа, таможня как всегда: фото-лицо-фото — и вот она, страна «Бонжур», вуаля."
Why do I attract nerds?,Почему я привлекаю ботаников?
Prison staff in Russia will be taught to stop using “prison slang”.,Сотрудников тюрем в России будут обучать не использовать «тюремный жаргон».
"Seryoga, have you decided to become famous for bringing up old memes?","Серёга, ты решил прославиться тем, что поднимаешь старые мемы?"
Imho you should simply drink on your own. You ought to drink with bros %),"Имхо, тебе просто стоит пить одному. Надо пить с бро %)"
"A dispatcher is on the line, lying as always — “Yes, this is Kira, I’m waiting and so on…”. Guidance is fine and I’m already standing in front of the door. A small gnome opens the door, well I can still go away at any point.","Диспетчер на линии, как всегда врёт — «Да, это Кира, я жду и так далее…». Навигация в порядке, и я уже стою перед дверью. Дверь открывает маленький гном, ну, я всё ещё могу уйти в любой момент."
"Although the weekdays won’t start on Monday – at least I won’t have to go to work and grind there, because I’m on vacation during which I will combine work for the family with a nice rest and coffee breaks…","Хотя рабочая неделя не начнётся с понедельника, по крайней мере, мне не придётся идти на работу и вкалывать там, потому что я в отпуске, во время которого буду совмещать дела для семьи с приятным отдыхом и кофейными паузами…"
